REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2008,06,1,59,0,03,5,2,2,4,1,,,2,3,19,07,34,,,,110,110,2,110,110,0,,0,0,0,6,10,,1000,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,150
2,2008,06,1,35,4,08,,2,1,5,1,,,1,3,17,03,11,,,,350,350,1,350,350,0,,0,0,0,,240,,5110,3,1,4,4,,,,,,,,,,,,,,,,,1,04,4,812
3,2008,06,1,12,0,02,4,2,6,4,1,,,1,3,17,02,09,,,,350,350,1,350,350,0,,0,0,0,,29,,1330,1,1,3,4,,,,,,,,,,,,,,,,,1,01,,203
4,2008,06,4,46,0,11,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,40
5,2008,06,4,35,0,12,,1,3,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,18,,221
6,2008,06,4,35,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,575
7,2008,06,4,24,0,10,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,11,,105
8,2008,06,1,10,0,07,,2,1,5,1,,,1,3,17,04,15,,,,375,413,1,375,413,0,,8,30,38,,180,,3077,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,75
9,2008,06,1,46,6,03,6,2,6,5,1,,,2,1,12,02,09,,,,400,400,1,400,400,0,,0,0,0,,5,,1200,3,1,4,4,,,,,,,,,,,,,,,,,1,05,,185
10,2008,06,1,35,4,10,,1,1,2,1,,,2,3,14,03,13,,,,400,400,1,400,400,0,,0,0,0,,240,,2885,3,1,2,2,,,,,,,,,,,,,,,,,1,05,,783
11,2008,06,1,24,0,02,4,1,2,4,1,,,1,3,21,05,23,,,,360,410,1,360,410,0,,50,0,50,,38,,2500,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,229
12,2008,06,4,47,0,09,,2,1,4,,1,2,2,2,17,02,07,,,,,,,,,,,,,,,,85,,,,,,,,,4,10,1,,,,,,,,,,,1,05,,80
13,2008,06,4,24,1,10,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,05,,489
14,2008,06,1,35,4,07,,2,1,2,1,,,2,3,12,02,08,,,,380,380,1,380,380,0,,0,0,0,,141,,2592,3,1,2,4,,,,,,,,,,,,,,,,,1,02,,792
15,2008,06,1,24,0,05,,1,2,4,1,,,2,2,19,07,31,,,,400,400,1,400,400,0,,0,0,0,,28,,2885,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,612
16,2008,06,4,24,2,10,,2,2,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,1,05,,853
17,2008,06,1,35,0,04,,1,1,4,1,,,2,3,10,08,35,,,,445,500,1,445,500,0,,60,0,60,,64,,2300,3,1,2,3,,,,,,,,,,,,,,,,,1,03,1,196
18,2008,06,4,47,0,03,6,2,6,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,1,95
19,2008,06,1,48,8,02,4,1,6,5,1,,,1,3,16,05,20,,,,120,120,2,120,120,0,,0,0,0,4,10,,3526,3,3,2,4,,,,,,,,,,,,,,,,,2,01,,479
20,2008,06,3,24,0,04,,2,5,4,,1,1,2,3,07,10,42,,,,,,,,,,,,,,,,5,,,,,,2,2,1,4,09,2,2,,,,,,1,1,,,1,16,1,263
21,2008,06,1,11,0,05,,2,2,4,1,,,1,3,21,01,01,,,,375,435,1,375,435,0,,0,60,60,,194,,2564,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,16
22,2008,06,4,24,2,04,,2,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,1,14,,838
23,2008,06,1,24,0,08,,1,5,4,1,,,1,3,21,07,33,,,,400,400,1,400,400,0,,0,0,0,,13,,1095,1,2,1,3,,,,,,,,,,,,,,,,,1,01,,143
24,2008,06,4,35,0,11,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,11,,148
25,2008,06,4,59,9,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,01,,103
26,2008,06,1,13,0,06,,2,6,5,1,,,1,2,21,02,09,,,,363,363,1,363,363,0,,0,0,0,,222,,1791,1,1,2,4,,,,,,,,,,,,,,,,,1,01,,108
27,2008,06,1,46,6,01,2,2,6,3,1,,,2,1,19,07,34,,,,40,40,2,40,40,0,,0,0,0,4,2,,875,3,1,2,4,,,,,,,,,,,,,,,,,2,04,,150
28,2008,06,1,48,0,09,,1,1,5,1,,,3,3,14,03,12,,,,400,700,1,400,700,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,18,,175
29,2008,06,1,35,0,02,3,1,6,3,1,,,2,2,15,07,34,,,,400,400,1,400,400,0,,0,0,0,,1,,1100,3,1,3,4,,,,,,,,,,,,,,,,,1,04,,262
30,2008,06,2,35,0,01,2,1,6,1,1,,,2,3,19,07,34,2,1,2,200,0,2,200,0,,,,,,4,20,,830,3,1,2,3,,,,,,,,,,,,,,,,,2,03,,202
31,2008,06,1,46,0,04,,1,6,0,1,,,6,3,01,01,04,,,,600,600,1,600,600,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,1,02,,41
32,2008,06,1,24,0,09,,1,1,2,1,,,2,3,07,02,09,,,,400,400,1,400,400,0,,0,0,0,,3,,1725,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,94
33,2008,06,1,35,0,07,,2,6,4,1,,,1,2,17,05,24,,,,210,210,2,210,210,0,,0,0,0,6,130,,2586,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,74
34,2008,06,1,59,0,09,,1,1,4,1,,,2,3,14,03,11,,,,500,500,1,500,500,0,,0,0,0,,240,,7308,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,133
35,2008,06,4,35,3,08,,1,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,1,01,,430
36,2008,06,1,10,0,08,,2,2,4,1,,,5,3,20,07,32,,,,350,350,1,350,350,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,1,08,,92
37,2008,06,1,59,9,03,6,2,6,5,2,,,2,3,15,09,39,,,,320,320,1,350,320,0,,0,0,0,,2,,1800,3,2,1,1,,,,,,,,,,,,,,,,,1,01,,137
38,2008,06,1,48,8,01,2,2,6,2,2,,,2,3,10,07,34,,,,200,200,2,320,350,0,,0,0,0,5,2,,1500,3,1,1,1,,,,,,,,,,,,,,,,,1,03,,779
39,2008,06,1,35,0,07,,2,5,2,1,,,2,3,10,07,32,,,,370,370,1,370,370,0,,0,0,0,,240,,2100,1,1,3,4,,,,,,,,,,,,,,,,,1,15,4,258
40,2008,06,1,24,0,03,6,2,6,4,1,,,1,3,21,02,06,,,,375,375,1,375,375,0,,0,0,0,,8,,2667,1,1,2,4,,,,,,,,,,,,,,,,,1,01,,170
41,2008,06,4,35,0,10,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,1,11,,340
42,2008,06,1,59,9,03,6,1,2,1,1,,,2,3,06,08,35,,,,200,200,2,200,200,0,,0,0,0,5,74,,2600,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,592
43,2008,06,1,35,0,03,6,2,2,5,1,,,1,3,17,04,15,,,,385,235,1,385,235,150,3,0,0,0,,49,,3200,3,1,3,4,,,,,,,,,,,,,,,,,1,02,,168
44,2008,06,3,24,2,08,,1,2,2,,1,1,2,3,09,02,09,,,,,,,,,,,,,,,,70,,,,,,4,6,1,0,00,8,2,,,,1,,1,2,,,1,08,,898
45,2008,06,1,59,9,04,,2,2,4,1,,,2,2,20,07,32,,,,400,470,1,400,470,0,,70,0,70,,126,,3600,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,498
46,2008,06,1,59,0,11,,1,1,0,1,,,5,3,06,08,36,,,,400,400,1,400,400,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,05,,108
47,2008,06,3,59,0,01,2,2,6,2,,1,2,2,3,19,07,34,,,,,,,,,,,,,,,,12,,,,,,4,6,1,3,05,2,2,,1,,,1,,3,,,1,04,,205
48,2008,06,4,24,0,11,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,11,,126
49,2008,06,1,24,2,03,6,2,1,5,1,,,2,2,18,07,31,,,,375,375,1,375,375,0,,0,0,0,,98,,2462,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,589
50,2008,06,1,35,0,04,,1,2,4,1,,,2,3,07,08,35,,,,400,400,1,400,400,0,,0,0,0,,45,,2200,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,186
51,2008,06,1,47,0,06,,2,6,2,1,,,2,3,19,07,34,,,,360,360,1,360,360,0,,0,0,0,,220,,1100,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,94
52,2008,06,4,35,0,12,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,11,,193
53,2008,06,1,24,0,05,,2,2,5,1,,,1,3,16,05,20,,,,138,200,2,138,200,0,,0,0,0,7,1,,1200,3,3,4,4,,,,,,,,,,,,,,,,,1,03,1,112
54,2008,06,1,35,0,08,,1,1,4,1,,,1,3,05,03,13,,,,400,440,1,400,440,0,,40,0,40,,240,,4964,1,1,4,4,,,,,,,,,,,,,,,,,1,05,,193
