REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2019,06,1,35,4,01,1,2,6,1,1,,,2,3,19,07,34,,,,250,250,2,250,250,0,,0,0,0,4,2,,1400,3,1,1,4,,,,,,,,,,,,,,,,,2,12,,908
2,2019,06,4,48,7,01,1,2,6,1,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,1,,,,,,,,,4,09,7,,,,,,,,,,,2,14,,668
3,2019,06,2,24,0,02,4,2,2,5,1,,,2,1,10,07,31,2,24,2,400,0,1,400,0,,,,,,,34,,2100,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,164
4,2019,06,4,47,0,12,,1,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,11,,167
5,2019,06,1,35,4,05,,2,5,6,1,,,2,1,10,02,06,,,,400,400,1,400,400,0,,0,0,0,,34,,3510,3,1,4,4,,,,,,,,,,,,,,,,,1,01,,986
6,2019,06,4,47,0,03,5,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,0,,1,06,1,89
7,2019,06,4,35,4,12,,2,3,5,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,905
8,2019,06,4,48,0,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,01,,47
9,2019,06,1,59,9,09,,2,6,5,1,,,2,2,10,07,33,,,,400,400,1,400,400,0,,0,0,0,,44,,2000,3,1,1,2,,,,,,,,,,,,,,,,,1,01,,602
10,2019,06,4,46,6,11,,2,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,06,3,132
11,2019,06,1,59,0,12,,1,1,2,1,,,2,3,11,08,36,,,,450,400,1,450,400,0,,0,0,0,,10,,2000,3,1,2,2,,,,,,,,,,,,,,,,,,05,,571
12,2019,06,1,48,7,08,,2,1,5,1,,,2,1,15,07,34,,,,400,400,1,400,400,0,,0,0,0,,20,,1500,3,1,4,4,,,,,,,,,,,,,,,,,3,02,,106
13,2019,06,1,24,0,08,,2,1,2,1,,,2,3,19,07,32,,,,350,350,1,350,350,0,,0,0,0,,26,,1000,3,1,2,2,,,,,,,,,,,,,,,,,1,03,3,92
14,2019,06,2,24,0,07,,1,6,4,1,,,1,3,17,05,26,1,52,2,350,0,1,350,0,,,,,,,114,,2280,1,1,2,4,,,,,,,,,,,,,,,,,1,01,,189
15,2019,06,1,24,0,10,,1,2,1,1,,,2,3,10,08,38,,,,400,400,1,400,400,0,,0,0,0,,86,,1275,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,152
16,2019,06,1,46,6,07,,2,1,5,1,,,2,2,12,02,07,,,,375,375,1,375,375,0,,0,0,0,,66,,2103,3,1,4,4,,,,,,,,,,,,,,,,,1,03,3,114
17,2019,06,1,46,6,09,,2,1,4,1,,,1,3,16,02,08,,,,350,280,1,350,280,70,3,0,0,0,,27,,2400,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,137
18,2019,06,1,13,0,08,,2,2,5,1,,,1,3,17,04,15,,,,375,375,1,375,375,0,,0,0,0,,47,,3100,1,1,1,4,,,,,,,,,,,,,,,,,1,03,2,125
19,2019,06,1,48,0,03,6,1,1,4,1,,,2,3,04,09,39,,,,400,500,1,400,500,0,,0,100,100,,9,,4712,3,1,1,4,,,,,,,,,,,,,,,,,1,03,1,117
20,2019,06,1,35,0,08,,1,1,4,1,,,2,3,09,07,33,,,,300,300,1,300,300,0,,0,0,0,,148,,2500,3,1,1,4,,,,,,,,,,,,,,,,,1,04,4,79
21,2019,06,4,24,0,12,,2,5,4,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,334
22,2019,06,1,24,0,02,3,1,6,4,1,,,2,3,15,03,13,,,,400,450,1,400,450,0,,50,0,50,,3,,1450,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,221
23,2019,06,4,24,0,12,,2,2,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,,,,,11,,363
24,2019,06,1,35,3,05,,1,1,4,1,,,2,3,10,01,02,,,,375,425,1,375,425,0,,40,10,50,,123,,4923,3,1,2,2,,,,,,,,,,,,,,,,,1,06,3,269
25,2019,06,1,13,0,06,,2,2,2,1,,,1,3,21,02,08,,,,362,422,1,362,422,0,,0,60,60,,25,,2975,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,173
26,2019,06,1,24,1,08,,1,1,2,1,,,4,3,06,08,36,,,,350,320,1,350,320,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,1,04,4,421
27,2019,06,1,35,0,09,,1,5,2,2,,,2,3,20,07,34,,,,75,100,2,115,140,0,,0,0,0,6,71,,1200,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,317
28,2019,06,4,35,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,112
29,2019,06,4,13,0,08,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,06,3,159
30,2019,06,4,35,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,422
31,2019,06,1,59,0,03,5,2,6,3,2,,,1,3,11,02,08,,,,80,0,2,230,70,0,,0,0,0,7,11,,1671,1,3,4,4,,,,,,,,,,,,,,,,,1,18,,132
32,2019,06,1,13,0,09,,1,5,1,1,,,2,3,06,08,36,,,,600,550,1,600,550,0,,0,0,0,,49,,1700,3,2,1,3,,,,,,,,,,,,,,,,,1,01,,94
33,2019,06,4,35,0,11,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,11,,207
34,2019,06,1,24,0,07,,2,2,5,1,,,4,3,14,02,05,,,,400,440,1,400,440,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,02,,327
35,2019,06,4,46,6,05,,2,6,2,,1,2,2,3,16,05,20,,,,,,,,,,,,,,,,27,,,,,,,,,4,09,3,,,,,,,,,,,1,18,,120
36,2019,06,1,13,0,07,,2,1,6,1,,,1,3,16,01,02,,,,400,500,1,400,500,0,,0,100,100,,240,,4615,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,50
37,2019,06,4,24,0,02,3,2,2,1,,1,1,2,3,18,07,34,,,,,,,,,,,,,,,,1,,,,,,,,,4,10,11,,,,,,,,,,,2,06,1,346
