REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2018,04,4,35,3,12,,2,3,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,521
2,2018,04,4,48,0,10,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,1,18,,100
3,2018,04,1,46,6,03,5,1,6,4,1,,,2,1,19,07,34,,,,400,450,1,400,450,0,,0,0,0,,7,,1300,1,1,3,3,,,,,,,,,,,,,,,,,1,01,,68
4,2018,04,1,47,0,08,,2,1,4,1,,,2,1,10,07,34,,,,400,400,1,400,400,0,,0,0,0,,49,,1300,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,144
5,2018,04,1,59,0,04,,1,6,3,1,,,1,3,21,05,23,,,,440,460,1,440,460,0,,20,0,20,,40,,3818,3,1,3,4,,,,,,,,,,,,,,,,,1,18,,118
6,2018,04,1,59,9,09,,2,5,4,1,,,2,2,20,07,34,,,,300,260,1,300,260,0,,0,0,0,,55,,1333,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,208
7,2018,04,4,24,1,12,,1,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,418
8,2018,04,1,47,0,11,,2,3,1,1,,,1,3,17,04,18,,,,320,320,1,320,320,0,,0,0,0,,66,,2000,3,1,2,2,,,,,,,,,,,,,,,,,,18,,55
9,2018,04,4,35,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,86
10,2018,04,1,10,0,03,6,1,2,6,1,,,2,3,14,03,11,,,,400,400,1,400,400,0,,0,0,0,,28,,3365,3,1,3,3,,,,,,,,,,,,,,,,,1,02,,125
11,2018,04,4,10,0,10,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,1,11,,80
12,2018,04,4,59,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,11,,103
13,2018,04,4,24,0,10,,2,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,,,,1,01,,127
14,2018,04,4,35,0,10,,1,1,2,,1,1,2,3,11,08,36,,,,,,,,,,,,,,,,68,,,,,,,,,4,09,5,,,,,,,,,5,,1,11,,1034
15,2018,04,1,47,0,01,2,1,6,2,1,,,2,3,01,09,40,,,,400,400,1,400,400,0,,0,0,0,,8,,1500,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,79
16,2018,04,1,35,5,09,,2,3,2,1,,,1,2,17,04,18,,,,370,375,1,370,375,0,,0,0,0,,240,,2903,1,1,3,4,,,,,,,,,,,,,,,,,1,18,,548
17,2018,04,2,47,0,12,,2,1,4,1,,,4,3,12,02,05,0,12,2,200,0,2,200,0,,,,,,5,240,,,,,,,,,,,,,,,,,,,,,,,,02,,79
18,2018,04,4,24,0,11,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,10,4,158
19,2018,04,4,59,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,11,,288
20,2018,04,2,35,4,05,,2,1,4,1,,,2,2,08,10,42,3,4,1,375,0,1,375,0,,,,,,,19,,1500,3,1,3,3,,,,,,,,,,,,,,,,,1,02,,1010
21,2018,04,1,46,0,05,,2,1,2,1,,,3,3,07,02,07,,,,200,220,2,200,220,,,,,,3,19,,,,,,,,,,,,,,,,,,,,,,,1,03,2,135
22,2018,04,1,35,0,02,3,1,6,4,1,,,1,2,16,02,09,,,,70,70,2,70,70,0,,0,0,0,4,8,,2438,3,3,1,4,,,,,,,,,,,,,,,,,2,06,,105
