REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2017,02,1,24,0,06,,1,1,4,1,,,1,3,17,04,16,,,,320,200,1,320,200,0,,0,0,0,,46,,3700,3,1,4,4,,,,,,,,,,,,,,,,,1,03,3,204
2,2017,02,4,13,0,12,,1,4,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,02,,135
3,2017,02,4,35,0,01,2,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,01,,67
4,2017,02,2,35,5,09,,2,1,2,1,,,2,3,17,02,08,3,1,1,250,0,2,250,0,,,,,,5,100,,1850,3,1,1,3,,,,,,,,,,,,,,,,,1,02,,433
5,2017,02,3,59,0,09,,2,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,7,2,,,17,2,,,,1,,1,2,,,1,01,,58
6,2017,02,1,24,0,09,,1,6,1,1,,,6,3,01,01,04,,,,700,600,1,700,600,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,01,,259
7,2017,02,4,59,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,11,,284
8,2017,02,1,35,0,08,,1,5,4,1,,,3,3,10,01,03,,,,550,500,1,550,500,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,1,01,,275
9,2017,02,3,12,0,06,,1,1,6,,1,1,2,3,10,08,35,,,,,,,,,,,,,,,,53,,,,,,24,2,1,4,12,7,2,1,,,1,,1,1,,,1,08,,87
10,2017,02,4,47,0,11,,2,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,01,,112
11,2017,02,4,47,0,10,,2,6,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,1,01,,112
12,2017,02,4,35,5,10,,1,3,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,1,01,,435
13,2017,02,4,35,0,10,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,1,11,,96
14,2017,02,1,24,0,07,,1,1,5,1,,,1,2,21,02,07,,,,400,450,1,400,450,0,,0,50,50,,180,,4663,1,1,2,4,,,,,,,,,,,,,,,,,1,06,3,159
15,2017,02,4,48,0,12,,1,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,11,,72
16,2017,02,4,46,0,03,6,2,1,4,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,1,103
17,2017,02,1,13,0,09,,1,1,6,1,,,1,3,21,03,10,,,,400,240,1,400,240,160,1,0,0,0,,240,,5673,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,80
18,2017,02,4,59,9,11,,2,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,11,,791
