REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
86854,2014,03,1,35,0,09,,2,1,4,1,,,2,3,17,04,18,,,,250,250,2,250,250,0,,0,0,0,7,45,,1935,1,4,1,4,,,,,,,,,,,,,,,,,1,02,,213
86855,2014,03,1,35,4,06,,2,1,4,1,,,1,1,17,04,18,,,,400,400,1,400,400,0,,0,0,0,,19,,2100,3,1,1,2,,,,,,,,,,,,,,,,,1,03,2,877
86856,2014,03,1,24,0,08,,2,2,0,2,,,2,3,17,07,34,,,,110,300,2,190,330,0,,0,0,0,7,131,,1200,3,1,2,2,,,,,,,,,,,,,,,,,1,08,,93
86857,2014,03,4,35,5,12,,2,4,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,03,,443
86858,2014,03,4,24,0,08,,1,2,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,1,11,,956
86859,2014,03,1,35,0,08,,1,5,2,1,,,2,3,09,07,31,,,,450,360,1,450,360,90,1,0,0,0,,214,,1333,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,143
86860,2014,03,4,35,4,07,,1,6,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,1,18,,903
86861,2014,03,4,24,0,12,,2,3,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,517
86862,2014,03,4,59,0,09,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,1,11,,407
86863,2014,03,4,35,0,12,,2,3,3,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,18,,318
86864,2014,03,1,48,8,01,2,1,6,1,1,,,2,3,06,08,38,,,,600,400,1,600,400,200,1,0,0,0,,2,,2000,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,134
86865,2014,03,4,35,0,08,,1,1,3,,1,2,2,3,15,07,33,,,,,,,,,,,,,,,,22,,,,,,,,,1,01,6,,,,,,,,,,,1,08,,630
86866,2014,03,4,35,0,12,,2,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,11,,224
86867,2014,03,4,35,0,04,,2,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,1,16,1,191
86868,2014,03,1,12,0,10,,1,1,4,1,,,6,3,10,01,03,,,,250,200,2,250,200,,,,,,5,51,,,,,,,,,,,,,,,,,,,,,,,1,02,,139
86869,2014,03,1,13,0,07,,2,1,2,1,,,2,3,17,04,18,,,,375,375,1,375,375,0,,0,0,0,,188,,2041,1,1,2,2,,,,,,,,,,,,,,,,,1,04,4,119
86870,2014,03,1,35,0,11,,2,1,2,1,,,2,3,18,07,33,,,,400,400,1,400,400,0,,0,0,0,,166,,2711,3,1,3,3,,,,,,,,,,,,,,,,,,06,,234
86871,2014,03,1,24,0,09,,2,1,4,1,,,2,3,10,10,42,,,,280,280,2,280,280,0,,0,0,0,5,240,,1360,3,1,2,2,,,,,,,,,,,,,,,,,1,08,,140
86872,2014,03,2,35,0,09,,2,1,2,1,,,2,3,07,02,09,1,1,1,370,0,1,370,0,,,,,,,222,,2286,3,1,2,2,,,,,,,,,,,,,,,,,1,08,,252
86873,2014,03,3,24,0,09,,1,4,2,,1,1,2,3,06,08,36,,,,,,,,,,,,,,,,9,,,,,,12,2,1,4,09,4,2,,,1,,1,,1,,,1,01,,116
86874,2014,03,1,47,0,12,,1,1,1,1,,,6,3,01,01,04,,,,350,300,1,350,300,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,02,,117
86875,2014,03,2,46,0,08,,1,1,4,1,,,2,3,04,09,40,1,99,1,400,0,1,400,0,,,,,,,240,,2000,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,34
86876,2014,03,4,24,0,12,,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,472
86877,2014,03,4,46,6,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,147
86878,2014,03,4,48,0,11,,2,1,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,130
86879,2014,03,4,35,0,12,,1,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,91
86880,2014,03,1,35,4,11,,2,1,5,1,,,6,2,14,06,27,,,,185,100,2,185,100,,,,,,5,240,,,,,,,,,,,,,,,,,,,,,,,,02,,645
86881,2014,03,4,48,0,01,1,1,6,1,,1,1,2,3,06,08,38,,,,,,,,,,,,,,,,3,,,,,,,,,3,05,8,,,,,,,,,,,2,03,,207
86882,2014,03,3,24,2,02,3,1,6,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,99,5,1,,,,2,,1,,1,,,3,,,1,04,,688
86883,2014,03,1,35,0,07,,1,1,4,1,,,1,3,21,05,23,,,,420,420,1,420,420,0,,0,0,0,,114,,4258,1,1,1,3,,,,,,,,,,,,,,,,,1,02,,93
