REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
43012,2010,01,1,35,0,02,4,2,6,3,1,,,2,3,19,07,34,,,,100,100,2,100,100,0,,0,0,0,4,5,,1000,3,4,1,1,,,,,,,,,,,,,,,,,1,15,,207
43013,2010,01,4,12,0,06,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,1,06,2,190
43014,2010,01,1,13,0,03,6,1,6,2,1,,,2,1,15,07,33,,,,390,390,1,390,390,0,,0,0,0,,97,,2200,3,1,3,4,,,,,,,,,,,,,,,,,1,01,,191
43015,2010,01,1,35,4,06,,1,2,5,1,,,3,2,14,03,11,,,,400,400,1,400,400,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,1,18,,953
43016,2010,01,4,35,0,10,,1,1,4,,1,1,2,3,15,07,33,,,,,,,,,,,,,,,,106,,,,,,,,,5,07,8,,,,,,,,,,,1,11,,187
43017,2010,01,1,47,0,06,,1,1,3,1,,,2,3,10,07,34,,,,400,400,1,400,400,0,,0,0,0,,39,,2019,3,1,1,2,,,,,,,,,,,,,,,,,1,03,1,93
43018,2010,01,1,46,0,05,,2,5,4,1,,,1,3,17,04,16,,,,400,760,1,400,760,0,,116,0,116,,18,,3569,1,1,3,4,,,,,,,,,,,,,,,,,3,14,2,128
43019,2010,01,1,35,4,08,,1,1,4,1,,,2,3,06,03,13,,,,450,600,1,450,600,0,,0,0,0,,25,,2308,3,1,2,3,,,,,,,,,,,,,,,,,1,18,,852
43020,2010,01,1,35,4,09,,2,6,2,1,,,2,2,12,01,02,,,,400,400,1,400,400,0,,0,0,0,,210,,4057,3,1,2,4,,,,,,,,,,,,,,,,,1,03,,761
43021,2010,01,4,59,0,12,,1,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,18,,135
