REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2011,02,1,59,0,08,,2,1,5,1,,,1,3,16,05,21,,,,280,290,2,280,290,0,,0,10,10,7,240,,4300,1,1,2,2,,,,,,,,,,,,,,,,,1,02,,300
2,2011,02,1,35,0,09,,2,1,2,1,,,2,2,12,02,07,,,,370,450,1,370,450,0,,80,0,80,,240,,2900,1,1,3,3,,,,,,,,,,,,,,,,,1,02,,268
3,2011,02,1,11,0,02,3,1,6,2,1,,,2,3,11,08,36,,,,500,500,1,500,500,0,,0,0,0,,21,,1625,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,50
4,2011,02,1,47,0,05,,2,6,4,1,,,2,3,17,05,24,,,,300,180,1,300,180,120,1,0,0,0,,82,,1680,1,1,2,2,,,,,,,,,,,,,,,,,1,14,2,76
5,2011,02,1,24,0,02,3,1,6,1,1,,,2,3,06,08,36,,,,320,160,1,320,160,0,,0,0,0,,45,,1650,1,1,2,2,,,,,,,,,,,,,,,,,1,10,,215
6,2011,02,1,35,0,07,,2,1,4,1,,,1,3,21,02,08,,,,368,368,1,368,368,0,,0,0,0,,119,,2500,1,1,2,2,,,,,,,,,,,,,,,,,1,08,,100
7,2011,02,1,24,1,10,,1,1,4,1,,,2,3,08,10,43,,,,320,320,1,320,320,0,,0,0,0,,240,,2250,1,1,2,3,,,,,,,,,,,,,,,,,1,05,,89
8,2011,02,1,24,1,08,,1,6,1,1,,,5,3,07,01,04,,,,450,550,1,450,550,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,01,,567
9,2011,02,1,10,0,05,,2,1,4,1,,,2,3,17,01,01,,,,400,600,1,400,600,0,,0,0,0,,128,,3462,3,1,1,1,,,,,,,,,,,,,,,,,1,03,2,79
10,2011,02,1,35,0,06,,1,1,4,1,,,2,2,07,10,42,,,,400,500,1,400,500,0,,100,0,100,,94,,3500,3,1,4,4,,,,,,,,,,,,,,,,,1,03,2,480
11,2011,02,1,48,7,06,,1,6,2,1,,,1,3,16,08,36,,,,400,400,1,400,400,0,,0,0,0,,105,,1460,1,1,4,4,,,,,,,,,,,,,,,,,1,18,,516
12,2011,02,1,46,0,07,,1,1,5,1,,,3,3,10,01,03,,,,500,50,1,500,50,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,03,3,59
13,2011,02,4,46,6,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,01,,59
14,2011,02,1,35,5,04,,1,1,4,1,,,2,3,19,07,31,,,,600,650,1,600,650,0,,0,0,0,,25,,1850,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,405
15,2011,02,4,24,2,11,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,11,,580
16,2011,02,1,35,3,01,2,2,6,4,1,,,2,3,10,07,33,,,,300,300,1,300,300,0,,0,0,0,,10,,1015,3,1,1,1,,,,,,,,,,,,,,,,,3,04,,179
17,2011,02,1,35,0,10,,1,1,4,1,,,2,3,09,07,33,,,,400,320,1,400,320,80,3,0,0,0,,189,,4327,3,1,2,4,,,,,,,,,,,,,,,,,1,03,,261
18,2011,02,1,24,0,08,,1,2,2,1,,,2,3,14,06,28,,,,370,370,1,370,370,0,,0,0,0,,33,,2650,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,98
19,2011,02,4,11,0,01,2,1,6,1,,1,2,2,3,01,09,40,,,,,,,,,,,,,,,,1,,,,,,,,,4,09,5,,,,,,,,,5,,2,03,,43
20,2011,02,3,35,3,04,,1,6,3,,1,1,2,3,06,08,36,,,,,,,,,,,,,,,,45,,,,,,14,2,1,4,09,4,2,1,,,,,,1,,,1,02,,216
21,2011,02,1,47,0,04,,2,1,4,1,,,6,3,20,07,32,,,,100,100,2,100,100,,,,,,2,79,,,,,,,,,,,,,,,,,,,,,,,1,03,1,123
22,2011,02,1,59,0,07,,2,6,1,1,,,6,3,20,07,32,,,,200,200,2,200,200,,,,,,2,148,,,,,,,,,,,,,,,,,,,,,,,1,14,2,57
