REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2010,08,1,48,8,03,6,1,6,4,1,,,2,3,11,07,33,,,,300,200,1,300,200,100,3,0,0,0,,37,,4100,1,1,3,4,,,,,,,,,,,,,,,,,1,05,,557
2,2010,08,1,46,6,05,,2,1,3,1,,,2,3,17,05,24,,,,200,160,2,200,160,0,,0,0,0,5,12,,1480,3,1,1,4,,,,,,,,,,,,,,,,,1,03,2,54
3,2010,08,4,35,5,12,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,337
4,2010,08,4,13,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,11,,110
5,2010,08,1,35,3,09,,1,6,5,1,,,6,3,17,05,21,,,,170,100,2,170,100,,,,,,5,184,,,,,,,,,,,,,,,,,,,,,,,1,01,,472
6,2010,08,3,24,0,06,,1,2,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,56,4,1,,,21,2,,1,,,,,1,,,1,12,1,153
7,2010,08,1,46,6,08,,1,1,2,1,,,2,3,11,08,37,,,,400,558,1,400,558,0,,158,0,158,,240,,1900,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,65
8,2010,08,4,24,2,10,,1,5,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,1,01,,1037
9,2010,08,4,48,0,09,,2,6,4,,1,1,2,3,19,07,32,,,,,,,,,,,,,,,,6,,,,,,,,,1,01,3,,,,,,,,,,,1,16,3,116
10,2010,08,1,35,0,10,,1,2,4,1,,,2,2,07,08,35,,,,400,400,1,400,400,0,,0,0,0,,240,,2100,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,209
11,2010,08,1,12,0,05,,1,6,4,1,,,2,3,08,10,42,,,,420,220,1,420,220,200,1,0,0,0,,2,,1010,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,130
12,2010,08,1,35,0,01,1,2,6,1,1,,,6,3,20,05,26,,,,400,400,1,400,400,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,03,,340
13,2010,08,4,13,0,07,,2,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,01,,100
