REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2013,03,1,48,0,10,,2,1,2,2,,,6,3,20,07,34,,,,300,330,1,460,490,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,1,02,,505
2,2013,03,4,59,9,03,6,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,2,11,,667
3,2013,03,1,24,0,09,,2,1,5,1,,,1,3,21,05,22,,,,350,350,1,350,350,0,,0,0,0,,140,,3985,2,1,2,4,,,,,,,,,,,,,,,,,1,02,,370
4,2013,03,1,35,3,05,,1,1,6,1,,,1,3,21,05,22,,,,375,225,1,375,225,150,0,0,0,0,,18,,2667,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,480
5,2013,03,1,46,0,02,4,2,1,5,1,,,2,3,10,07,31,,,,380,330,1,380,330,0,,10,0,10,,9,,1800,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,90
6,2013,03,4,24,0,01,2,2,6,3,,1,1,2,3,01,09,40,,,,,,,,,,,,,,,,2,,,,,,,,,4,09,8,,,,,,,,,,,2,03,,105
7,2013,03,1,46,0,04,,2,1,2,1,,,2,1,19,07,34,,,,300,300,1,300,300,0,,0,0,0,,12,,1025,3,1,1,4,,,,,,,,,,,,,,,,,1,03,1,91
8,2013,03,1,47,0,05,,1,5,6,1,,,2,3,12,02,05,,,,400,200,1,400,200,200,0,0,0,0,,20,,5096,3,1,2,2,,,,,,,,,,,,,,,,,1,14,2,169
9,2013,03,4,10,0,01,2,2,6,3,,1,1,2,3,19,07,34,,,,,,,,,,,,,,,,1,,,,,,,,,3,05,4,,,,,,,,,,,2,03,,88
10,2013,03,1,13,0,07,,2,5,4,2,,,2,3,14,07,31,,,,400,460,1,480,540,0,,0,60,60,,50,,2885,3,1,3,4,,,,,,,,,,,,,,,,,1,15,4,140
11,2013,03,1,47,0,02,4,1,2,1,1,,,2,3,06,08,38,,,,400,480,1,400,480,0,,80,0,80,,2,,2600,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,126
12,2013,03,4,59,0,12,,2,5,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,214
13,2013,03,4,46,6,01,2,1,6,1,,1,2,2,3,06,08,36,,,,,,,,,,,,,,,,1,,,,,,,,,4,13,3,,,,,,,,,0,,1,04,,121
14,2013,03,4,24,0,09,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,0,,1,09,3,170
15,2013,03,4,35,0,10,,2,1,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,05,,260
16,2013,03,1,24,2,01,2,1,6,4,1,,,2,3,10,08,35,,,,400,430,1,400,430,0,,30,0,30,,3,,1200,3,1,2,2,,,,,,,,,,,,,,,,,1,10,,349
17,2013,03,4,59,0,08,,1,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,1,01,,187
18,2013,03,4,48,0,03,5,2,1,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,06,1,86
19,2013,03,1,47,0,08,,2,1,2,1,,,2,3,20,02,09,,,,400,380,1,400,380,0,,0,0,0,,179,,1600,1,1,2,2,,,,,,,,,,,,,,,,,1,15,,126
20,2013,03,1,35,0,05,,1,1,5,1,,,2,3,15,01,03,,,,400,450,1,400,450,0,,0,50,50,,19,,4375,3,3,1,3,,,,,,,,,,,,,,,,,1,03,1,215
21,2013,03,1,59,9,09,,2,1,4,1,,,2,2,17,07,34,,,,200,200,2,200,200,0,,0,0,0,7,27,,1300,3,3,1,1,,,,,,,,,,,,,,,,,1,02,,652
22,2013,03,4,24,1,10,,2,5,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,1,01,,626
23,2013,03,1,35,3,02,4,2,6,4,2,,,2,3,17,04,17,,,,370,370,1,400,400,0,,0,0,0,,9,,3300,3,1,1,1,,,,,,,,,,,,,,,,,1,04,,415
24,2013,03,1,24,0,05,,2,2,4,1,,,5,3,20,07,32,,,,400,400,1,400,400,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,1,03,2,118
25,2013,03,1,46,0,10,,2,3,4,1,,,1,3,16,02,05,,,,350,315,1,350,315,45,3,0,10,10,,240,,3077,1,1,1,4,,,,,,,,,,,,,,,,,1,01,,36
26,2013,03,4,48,0,06,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,1,05,,154
27,2013,03,4,59,0,12,,1,3,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,369
28,2013,03,4,24,2,10,,1,4,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,,1,01,,490
29,2013,03,4,59,9,11,,1,6,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,01,,598
30,2013,03,4,59,9,12,,2,3,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,18,,479
31,2013,03,1,10,0,07,,1,1,1,1,,,2,3,15,10,43,,,,600,600,1,600,600,0,,0,0,0,,74,,1750,1,1,2,3,,,,,,,,,,,,,,,,,1,02,,64
32,2013,03,1,59,9,06,,1,1,4,1,,,6,2,14,06,28,,,,500,800,1,500,800,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,03,2,533
33,2013,03,4,35,4,11,,2,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,05,,812
34,2013,03,1,35,0,08,,2,1,2,1,,,6,3,10,07,33,,,,550,560,1,550,560,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,1,08,,539
35,2013,03,1,13,0,03,6,1,6,4,1,,,2,3,06,08,35,,,,735,420,1,735,420,315,3,0,0,0,,9,,4933,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,191
36,2013,03,1,48,0,08,,1,1,2,1,,,2,3,10,08,36,,,,440,440,1,440,440,0,,0,40,40,,70,,2300,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,118
37,2013,03,1,46,6,08,,2,1,4,1,,,1,1,16,05,25,,,,288,230,2,288,230,58,0,0,0,0,7,7,,1600,3,3,2,4,,,,,,,,,,,,,,,,,1,03,3,37
38,2013,03,1,13,0,07,,1,1,2,1,,,2,3,07,10,42,,,,400,400,1,400,400,0,,0,0,0,,240,,3365,2,1,3,4,,,,,,,,,,,,,,,,,1,03,3,56
39,2013,03,1,24,1,05,,1,2,4,1,,,2,3,14,03,13,,,,400,400,1,400,400,0,,0,0,0,,52,,2692,3,1,3,3,,,,,,,,,,,,,,,,,1,03,1,610
40,2013,03,4,13,0,08,,1,2,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,1,08,,128
41,2013,03,1,24,2,08,,2,2,2,1,,,1,3,21,02,07,,,,350,350,1,350,350,0,,0,0,0,,240,,3566,1,1,4,4,,,,,,,,,,,,,,,,,1,08,,720
42,2013,03,1,24,2,07,,2,5,3,2,,,6,3,16,06,29,,,,500,100,1,520,100,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,1,01,,839
43,2013,03,1,35,0,07,,2,1,2,1,,,6,3,14,02,07,,,,350,280,1,350,280,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,1,03,3,285
44,2013,03,4,48,8,03,6,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,1,05,,384
45,2013,03,1,59,0,01,1,2,6,3,1,,,2,3,19,07,34,,,,80,70,2,80,70,0,,0,0,0,4,19,,1200,3,4,2,4,,,,,,,,,,,,,,,,,2,03,,117
46,2013,03,4,46,0,03,5,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,1,02,,77
47,2013,03,1,12,0,06,,1,1,3,1,,,2,3,08,08,36,,,,360,600,1,360,600,0,,240,0,240,,21,,1240,3,1,2,4,,,,,,,,,,,,,,,,,1,06,2,135
48,2013,03,1,48,0,01,1,1,6,1,1,,,2,3,10,07,34,,,,200,60,2,200,60,0,,0,0,0,4,6,,950,3,1,2,2,,,,,,,,,,,,,,,,,2,03,,97
49,2013,03,4,12,0,10,,2,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,1,01,,69
50,2013,03,4,24,0,01,2,1,6,3,,1,1,2,3,08,10,42,,,,,,,,,,,,,,,,11,,,,,,,,,4,10,4,,,,,,,,,4,,3,17,,93
51,2013,03,1,35,0,02,3,1,6,2,1,,,2,3,06,08,35,,,,370,370,1,370,370,0,,0,0,0,,20,,1980,1,1,2,4,,,,,,,,,,,,,,,,,1,04,,264
52,2013,03,2,24,0,06,,2,2,4,1,,,2,3,01,09,40,3,1,1,300,0,1,300,0,,,,,,,240,,1720,1,1,2,2,,,,,,,,,,,,,,,,,1,04,4,153
53,2013,03,1,46,6,02,4,1,6,2,1,,,2,3,15,09,40,,,,450,450,1,450,450,0,,0,0,0,,34,,1800,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,183
