REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2009,05,1,47,0,02,3,2,6,1,1,,,2,3,18,07,32,,,,290,290,2,290,290,0,,0,0,0,2,51,,1250,2,1,1,1,,,,,,,,,,,,,,,,,1,14,1,112
2,2009,05,4,48,0,12,,1,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,11,,412
3,2009,05,4,48,0,12,,2,1,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,11,,347
4,2009,05,4,24,0,11,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,11,,269
5,2009,05,3,12,0,05,,1,2,4,,1,1,2,3,06,08,35,,,,,,,,,,,,,,,,32,,,,,,20,2,1,4,09,6,2,,1,,,,,1,,,1,09,1,151
6,2009,05,1,13,0,09,,1,1,6,1,,,1,3,16,05,20,,,,200,250,2,200,250,0,,0,50,50,5,81,,1538,3,3,4,4,,,,,,,,,,,,,,,,,1,03,2,84
7,2009,05,1,35,0,06,,1,2,1,1,,,2,3,10,07,31,,,,440,440,1,440,440,0,,0,0,0,,240,,3497,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,236
8,2009,05,4,35,4,12,,1,3,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,01,,700
9,2009,05,1,35,0,04,,2,1,2,1,,,2,3,19,07,34,,,,400,400,1,400,400,0,,0,0,0,,35,,1000,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,170
10,2009,05,2,47,0,09,,2,1,2,1,,,5,3,19,01,03,0,8,,300,0,1,300,0,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,1,08,,93
