REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2011,01,1,59,9,09,,2,3,1,1,,,5,3,15,07,34,,,,300,300,1,300,300,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,1,14,3,109
2,2011,01,1,48,0,11,,2,4,2,1,,,6,3,14,02,07,,,,120,240,2,120,240,,,,,,5,97,,,,,,,,,,,,,,,,,,,,,,,,18,,62
3,2011,01,1,47,0,06,,1,1,2,1,,,3,3,09,07,33,,,,450,450,1,450,450,,,,,,,213,,,,,,,,,,,,,,,,,,,,,,,1,03,2,71
4,2011,01,4,35,3,12,,1,5,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,,,14,,345
5,2011,01,1,12,0,06,,2,1,4,1,,,1,3,16,02,08,,,,375,375,1,375,375,0,,0,0,0,,136,,2462,3,1,3,4,,,,,,,,,,,,,,,,,1,03,2,105
6,2011,01,1,13,0,09,,2,1,5,1,,,1,3,17,01,02,,,,375,375,1,375,375,0,,0,0,0,,101,,3769,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,117
7,2011,01,1,35,0,05,,1,2,4,1,,,2,3,04,09,39,,,,700,800,1,700,800,0,,100,0,100,,82,,2706,3,1,4,4,,,,,,,,,,,,,,,,,1,05,,485
8,2011,01,4,35,0,12,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,11,,584
9,2011,01,1,35,0,05,,1,1,5,1,,,2,3,09,02,08,,,,400,400,1,400,400,0,,0,0,0,,171,,2644,3,1,2,2,,,,,,,,,,,,,,,,,1,03,2,219
10,2011,01,4,35,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,109
11,2011,01,1,35,0,11,,2,1,2,1,,,1,3,16,05,26,,,,200,200,2,200,200,0,,0,0,0,5,39,,1724,1,1,2,4,,,,,,,,,,,,,,,,,,08,,188
12,2011,01,1,24,2,07,,1,1,4,1,,,2,3,14,03,13,,,,400,400,1,400,400,0,,0,0,0,,167,,3606,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,583
13,2011,01,1,47,0,02,4,1,6,2,1,,,2,3,04,09,39,,,,400,840,1,400,840,0,,440,0,440,,63,,3875,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,130
14,2011,01,3,24,0,08,,2,4,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,52,4,2,,,82,2,1,,1,1,,,1,,,1,01,,271
15,2011,01,4,35,0,12,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,93
16,2011,01,4,35,0,12,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,274
17,2011,01,2,24,0,07,,1,1,4,1,,,1,3,05,03,13,1,12,1,370,0,1,370,0,,,,,,,91,,3500,1,1,4,4,,,,,,,,,,,,,,,,,1,05,,525
18,2011,01,4,48,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,11,,249
19,2011,01,1,12,0,09,,1,1,4,1,,,2,3,20,02,06,,,,400,550,1,400,550,0,,0,150,150,,22,,3365,1,1,2,2,,,,,,,,,,,,,,,,,1,02,,98
20,2011,01,1,12,0,08,,2,3,3,1,,,2,3,10,07,34,,,,200,200,2,200,200,0,,0,0,0,7,29,,1050,3,1,3,4,,,,,,,,,,,,,,,,,1,18,,178
21,2011,01,4,46,0,01,2,1,6,1,,1,1,2,3,06,08,38,,,,,,,,,,,,,,,,22,,,,,,,,,4,09,4,,,,,,,,,,,2,03,,80
22,2011,01,1,35,0,08,,1,5,4,1,,,2,3,08,10,41,,,,400,550,1,400,550,0,,150,0,150,,118,,2100,3,1,1,1,,,,,,,,,,,,,,,,,1,15,4,185
23,2011,01,1,35,4,05,,2,1,6,1,,,1,3,16,05,20,,,,400,460,1,400,460,0,,0,60,60,,24,,2885,1,1,3,3,,,,,,,,,,,,,,,,,1,18,,983
24,2011,01,2,13,0,08,,1,2,6,1,,,3,3,16,05,22,0,6,2,500,0,1,500,0,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,1,06,3,90
25,2011,01,4,13,0,11,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,08,,91
26,2011,01,2,35,0,02,4,2,6,1,1,,,2,3,10,07,34,2,12,2,200,0,2,200,0,,,,,,7,56,,1025,3,1,2,4,,,,,,,,,,,,,,,,,1,17,,111
27,2011,01,4,35,0,05,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,1,06,1,213
28,2011,01,4,59,9,12,,1,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,11,,507
29,2011,01,4,11,0,01,1,1,6,1,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,5,,,,,,,,,3,05,4,,,,,,,,,,,2,03,,39
30,2011,01,4,24,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,371
31,2011,01,2,35,0,04,,1,1,6,1,,,6,3,17,04,14,3,1,,450,0,1,450,0,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,1,06,1,293
32,2011,01,4,35,0,12,,2,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,,,,,,,,,18,,443
33,2011,01,1,24,2,01,2,2,6,3,1,,,2,3,19,07,33,,,,80,80,2,80,80,0,,0,0,0,4,19,,1100,3,4,2,2,,,,,,,,,,,,,,,,,1,14,,946
34,2011,01,1,35,0,07,,1,1,2,1,,,1,3,21,02,07,,,,375,375,1,375,375,0,,0,0,0,,134,,2100,3,1,4,4,,,,,,,,,,,,,,,,,1,04,4,117
35,2011,01,4,35,0,10,,1,1,1,,1,2,1,3,16,05,20,,,,,,,,,,,,,,,,121,,,,,,,,,4,12,7,,,,,,,,,0,,1,11,,98
36,2011,01,4,35,0,12,,2,3,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,429
37,2011,01,4,35,0,12,,2,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,,11,,192
38,2011,01,1,24,0,10,,2,1,6,1,,,6,3,16,06,27,,,,200,200,2,200,200,,,,,,5,240,,,,,,,,,,,,,,,,,,,,,,,1,08,,283
39,2011,01,1,46,0,12,,1,2,2,1,,,2,3,11,08,38,,,,400,160,1,400,160,240,0,0,0,0,,240,,1154,1,1,2,2,,,,,,,,,,,,,,,,,,18,,64
40,2011,01,4,35,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,03,,112
41,2011,01,4,12,0,08,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,1,05,,134
42,2011,01,1,46,0,06,,2,1,5,1,,,1,3,05,02,09,,,,360,360,1,360,360,0,,0,0,0,,74,,1806,1,1,1,4,,,,,,,,,,,,,,,,,1,03,2,48
43,2011,01,3,35,0,01,2,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,27,5,2,,,,2,,1,,1,1,,3,,,2,14,,183
