REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2007,01,1,24,1,07,,1,1,4,1,,,1,3,21,05,23,,,,400,400,1,400,400,0,,0,0,0,,240,,3200,1,1,3,4,,,,,,,,,,,,,,,,,1,03,3,539
2,2007,01,1,13,0,07,,2,1,4,1,,,2,3,10,02,08,,,,240,240,2,240,240,0,,0,0,0,5,51,,1200,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,128
3,2007,01,1,35,0,11,,2,1,4,1,,,2,3,08,02,09,,,,400,400,1,400,400,0,,0,0,0,,184,,2500,3,1,1,1,,,,,,,,,,,,,,,,,,02,,246
4,2007,01,1,59,0,05,,1,2,4,1,,,2,3,07,08,38,,,,400,320,1,400,320,80,0,0,0,0,,7,,1600,3,1,2,2,,,,,,,,,,,,,,,,,1,03,2,122
5,2007,01,4,59,9,12,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,123
6,2007,01,4,35,0,02,3,1,6,4,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,,93
7,2007,01,4,48,0,10,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,1,05,,205
8,2007,01,1,24,0,08,,2,1,4,1,,,2,3,07,02,07,,,,400,400,1,400,400,0,,0,0,0,,164,,1202,3,1,3,3,,,,,,,,,,,,,,,,,1,08,,261
9,2007,01,1,24,0,06,,2,1,5,2,,,1,3,16,05,20,,,,60,60,2,180,180,0,,0,0,0,5,13,,5500,1,3,3,3,,,,,,,,,,,,,,,,,1,03,1,329
10,2007,01,1,35,0,01,2,1,6,1,1,,,2,3,18,08,38,,,,60,60,2,60,60,0,,0,0,0,4,54,,1500,3,1,3,3,,,,,,,,,,,,,,,,,2,11,,216
11,2007,01,4,35,0,12,,1,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,18,,634
12,2007,01,4,48,0,12,,2,3,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,,,,,,,,,,18,,136
13,2007,01,4,11,0,01,2,1,6,1,,1,2,2,3,18,07,34,,,,,,,,,,,,,,,,2,,,,,,,,,3,05,6,,,,,,,,,,,2,03,,40
14,2007,01,1,24,0,04,,1,1,1,1,,,2,3,04,08,36,,,,650,320,1,650,320,0,,0,0,0,,23,,1400,3,1,3,3,,,,,,,,,,,,,,,,,1,03,1,117
15,2007,01,1,59,0,07,,1,1,1,1,,,2,3,08,02,07,,,,400,400,1,400,400,0,,0,0,0,,176,,1800,3,3,2,4,,,,,,,,,,,,,,,,,1,03,2,228
16,2007,01,1,35,0,01,2,1,6,1,1,,,2,3,10,07,34,,,,140,125,2,140,125,0,,0,0,0,4,44,,745,3,1,1,2,,,,,,,,,,,,,,,,,2,14,,99
