REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2011,03,1,35,4,06,,1,2,4,1,,,2,2,19,01,03,,,,440,440,1,440,440,0,,0,0,0,,125,,2404,3,1,4,4,,,,,,,,,,,,,,,,,1,05,,1015
2,2011,03,4,24,0,09,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,11,,351
3,2011,03,1,12,0,08,,1,1,4,2,,,6,2,18,06,29,,,,150,250,2,210,250,,,,,,7,226,,,,,,,,,,,,,,,,,,,,,,,1,03,1,146
4,2011,03,1,59,0,04,,2,5,4,1,,,1,3,21,02,08,,,,350,330,1,350,330,20,1,0,0,0,,71,,2591,1,1,2,3,,,,,,,,,,,,,,,,,1,14,1,164
5,2011,03,4,46,6,12,,1,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,08,,156
6,2011,03,1,59,0,10,,2,1,5,1,,,1,3,17,04,14,,,,80,80,2,80,80,0,,0,0,0,5,25,,5585,1,4,4,4,,,,,,,,,,,,,,,,,1,08,,84
7,2011,03,1,35,3,03,6,1,2,5,1,,,2,3,14,03,11,,,,400,500,1,400,500,0,,100,0,100,,38,,3365,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,592
8,2011,03,1,10,0,07,,1,1,4,1,,,4,3,06,08,35,,,,500,600,1,500,600,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,05,,91
9,2011,03,1,24,0,08,,1,1,3,1,,,2,3,11,08,36,,,,700,600,1,700,600,0,,0,0,0,,129,,2667,1,1,3,4,,,,,,,,,,,,,,,,,1,03,3,106
10,2011,03,1,59,9,08,,2,1,4,1,,,2,1,08,10,43,,,,375,450,1,375,450,0,,75,0,75,,16,,900,3,1,3,3,,,,,,,,,,,,,,,,,1,10,4,153
11,2011,03,4,46,6,02,4,1,6,4,,1,1,2,3,06,08,35,,,,,,,,,,,,,,,,7,,,,,,,,,3,05,2,,,,,,,,,,,2,04,,202
12,2011,03,4,24,0,11,,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,11,,105
