REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2011,05,1,35,0,08,,2,1,2,1,,,2,3,07,10,41,,,,400,400,1,400,400,0,,0,0,0,,240,,2000,3,1,3,3,,,,,,,,,,,,,,,,,1,04,4,254
2,2011,05,1,59,9,08,,1,6,6,1,,,1,3,21,02,07,,,,375,375,1,375,375,0,,0,0,0,,48,,2200,2,3,1,4,,,,,,,,,,,,,,,,,1,01,,664
3,2011,05,1,24,2,04,,2,6,4,1,,,2,3,07,01,04,,,,375,475,1,375,475,0,,100,0,100,,97,,2205,3,1,2,4,,,,,,,,,,,,,,,,,1,14,2,784
4,2011,05,1,24,0,02,3,2,6,4,1,,,2,3,10,04,17,,,,350,350,1,350,350,0,,0,0,0,,1,,1500,3,2,2,4,,,,,,,,,,,,,,,,,1,03,,308
5,2011,05,4,24,0,10,,1,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,1,18,,105
6,2011,05,4,59,0,11,,2,5,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,01,,451
7,2011,05,4,12,0,10,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,1,11,,186
8,2011,05,3,24,0,10,,1,1,2,,1,1,2,3,19,07,32,,,,,,,,,,,,,,,,5,,,,,,,8,3,4,09,8,2,,,,,,,,,,1,08,,88
9,2011,05,4,35,0,11,,1,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,194
10,2011,05,1,24,0,05,,1,2,1,1,,,2,3,06,08,35,,,,400,465,1,400,465,0,,65,0,65,,70,,1575,3,1,2,4,,,,,,,,,,,,,,,,,1,02,,660
11,2011,05,4,59,0,12,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,11,,98
12,2011,05,1,59,9,08,,2,1,3,1,,,2,1,06,01,03,,,,400,240,1,400,240,160,3,0,0,0,,8,,3462,3,1,2,4,,,,,,,,,,,,,,,,,1,04,4,152
13,2011,05,3,12,0,08,,1,2,0,,1,2,2,3,06,08,36,,,,,,,,,,,,,,,,1,,,,,,2,2,1,4,10,1,2,,,,,,1,1,,,1,11,,171
14,2011,05,4,35,0,02,4,2,6,4,,1,2,2,3,10,07,33,,,,,,,,,,,,,,,,15,,,,,,,,,3,05,6,,,,,,,,,4,,2,04,,253
15,2011,05,1,48,0,03,6,1,6,2,1,,,2,3,19,07,34,,,,350,350,1,350,350,0,,0,0,0,,39,,2000,3,1,4,4,,,,,,,,,,,,,,,,,1,01,,152
16,2011,05,1,13,0,06,,1,2,4,1,,,2,3,14,03,13,,,,375,300,1,375,300,75,1,0,0,0,,14,,1692,3,3,3,3,,,,,,,,,,,,,,,,,1,03,2,200
17,2011,05,1,59,0,03,5,1,2,4,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,3,,2200,3,1,1,3,,,,,,,,,,,,,,,,,1,04,,95
18,2011,05,4,46,6,04,,2,2,1,,1,2,2,3,10,08,38,,,,,,,,,,,,,,,,4,,,,,,,,,4,10,6,,,,,,,,,0,,1,11,,67
19,2011,05,4,24,0,09,,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,01,,418
20,2011,05,4,35,0,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,188
21,2011,05,1,24,0,10,,2,1,4,1,,,2,3,14,02,05,,,,350,200,1,350,200,0,,0,0,0,,229,,989,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,184
22,2011,05,4,35,0,12,,2,1,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,241
23,2011,05,4,48,7,11,,2,5,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,18,,118
24,2011,05,3,35,3,04,,1,1,5,,1,1,2,2,13,01,03,,,,,,,,,,,,,,,,9,,,,,,12,3,1,0,00,7,2,1,,,,1,1,1,,,1,08,,473
25,2011,05,1,35,0,04,,2,1,4,1,,,2,3,13,01,03,,,,400,420,1,400,420,0,,0,20,20,,80,,1546,3,1,1,1,,,,,,,,,,,,,,,,,1,03,1,90
26,2011,05,2,59,9,03,6,2,1,4,1,,,2,3,11,07,34,3,1,1,400,0,1,400,0,,,,,,,48,,2644,3,1,3,4,,,,,,,,,,,,,,,,,1,01,,759
27,2011,05,1,35,0,07,,1,1,6,1,,,2,2,08,10,42,,,,420,420,1,420,420,0,,0,0,0,,129,,2560,1,1,4,4,,,,,,,,,,,,,,,,,1,04,4,114
28,2011,05,1,12,0,03,6,1,2,2,1,,,2,3,07,10,42,,,,400,400,1,400,400,0,,0,0,0,,108,,1950,1,1,2,2,,,,,,,,,,,,,,,,,1,03,1,109
29,2011,05,4,35,0,01,2,1,6,1,,1,2,2,3,08,08,38,,,,,,,,,,,,,,,,18,,,,,,,,,3,05,6,,,,,,,,,,,2,06,,236
30,2011,05,4,48,0,09,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,1,08,,71
31,2011,05,4,46,0,12,,1,3,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,66
32,2011,05,1,10,0,05,,1,1,6,1,,,2,3,04,03,11,,,,400,400,1,400,400,0,,0,0,0,,10,,5288,3,1,3,4,,,,,,,,,,,,,,,,,1,06,1,129
33,2011,05,1,48,0,07,,2,1,5,1,,,2,3,17,05,24,,,,140,140,2,140,140,0,,0,0,0,2,21,,1100,3,1,1,1,,,,,,,,,,,,,,,,,1,03,1,60
34,2011,05,2,48,0,07,,1,2,1,1,,,2,3,13,01,02,2,4,1,400,0,1,400,0,,,,,,,237,,2500,3,1,2,4,,,,,,,,,,,,,,,,,1,02,,259
35,2011,05,4,10,0,10,,1,1,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,1,11,,90
36,2011,05,1,12,0,04,,2,1,6,1,,,1,3,21,05,21,,,,375,375,1,375,375,0,,0,0,0,,17,,3179,1,1,3,4,,,,,,,,,,,,,,,,,1,01,,86
37,2011,05,4,13,0,10,,1,6,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,18,,131
38,2011,05,1,46,0,08,,2,1,1,1,,,1,3,17,04,18,,,,375,375,1,375,375,0,,0,0,0,,3,,2100,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,92
39,2011,05,1,35,0,02,3,2,6,3,1,,,2,3,17,05,24,,,,380,380,1,380,380,0,,0,0,0,,1,,526,3,3,1,1,,,,,,,,,,,,,,,,,2,07,,325
