REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2011,11,1,35,4,06,,1,1,2,1,,,2,1,20,07,32,,,,400,350,1,400,350,0,,0,0,0,,218,,2163,3,1,4,4,,,,,,,,,,,,,,,,,1,05,,1110
2,2011,11,4,48,7,10,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,1,05,,388
3,2011,11,2,35,0,06,,1,2,4,1,,,2,3,06,08,38,0,1,2,250,0,2,250,0,,,,,,0,103,,1400,3,2,1,1,,,,,,,,,,,,,,,,,1,05,,106
4,2011,11,2,12,0,03,5,2,6,4,1,,,2,3,14,03,11,3,1,1,400,0,1,400,0,,,,,,,19,,1827,3,1,3,4,,,,,,,,,,,,,,,,,1,01,,197
5,2011,11,1,24,0,04,,2,2,4,1,,,2,3,17,05,24,,,,300,210,1,300,210,90,2,0,0,0,,140,,2160,1,1,2,2,,,,,,,,,,,,,,,,,1,03,1,110
6,2011,11,1,48,0,04,,2,6,4,1,,,4,3,13,01,03,,,,500,300,1,500,300,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,1,01,,291
7,2011,11,1,35,5,06,,1,1,5,1,,,1,3,16,01,02,,,,400,450,1,400,450,0,,0,50,50,,195,,3462,3,1,2,2,,,,,,,,,,,,,,,,,1,03,2,394
8,2011,11,1,24,0,07,,1,6,4,1,,,1,3,21,05,25,,,,400,320,1,400,320,80,3,0,0,0,,113,,2600,1,1,2,4,,,,,,,,,,,,,,,,,1,01,,185
9,2011,11,1,10,0,02,3,1,6,3,1,,,2,3,10,07,33,,,,250,200,2,250,200,50,3,0,0,0,7,3,,1000,3,3,1,1,,,,,,,,,,,,,,,,,1,07,,140
10,2011,11,4,46,0,12,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,11,,68
11,2011,11,1,48,8,06,,1,1,4,1,,,1,3,21,05,25,,,,400,340,1,400,340,80,3,20,0,20,,164,,3413,1,1,3,4,,,,,,,,,,,,,,,,,1,03,1,473
12,2011,11,3,59,0,10,,1,1,6,,1,1,6,3,06,01,04,,,,,,,,,,,,,,,,80,,,,,,10,3,1,0,08,4,2,,1,,1,1,,1,,,1,08,,211
13,2011,11,2,35,0,02,3,1,6,1,1,,,6,3,20,08,35,3,1,,500,0,1,500,0,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,1,04,,217
14,2011,11,3,10,0,03,5,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,8,7,1,,,29,2,1,,,,,,0,,,1,08,,131
15,2011,11,2,46,0,07,,1,1,4,1,,,1,3,05,03,13,1,56,2,370,0,1,370,0,,,,,,,240,,3400,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,41
16,2011,11,3,24,0,05,,1,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,24,4,2,,,28,2,1,,,,,,1,,,1,01,,104
17,2011,11,2,46,0,02,3,2,6,4,1,,,2,3,19,07,34,3,1,2,400,0,1,400,0,,,,,,,5,,900,3,4,2,4,,,,,,,,,,,,,,,,,1,06,,43
18,2011,11,4,10,0,11,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,11,,110
19,2011,11,1,48,0,01,1,1,6,1,1,,,3,3,06,01,04,,,,100,200,2,100,200,,,,,,4,40,,,,,,,,,,,,,,,,,,,,,,,2,03,,282
20,2011,11,1,35,0,03,6,2,6,5,1,,,1,3,17,04,14,,,,375,375,1,375,375,0,,0,0,0,,39,,4000,1,1,4,4,,,,,,,,,,,,,,,,,1,05,,210
21,2011,11,1,35,0,06,,2,1,6,1,,,3,2,17,04,14,,,,600,600,1,600,600,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,1,03,1,417
22,2011,11,1,48,0,02,3,1,2,1,1,,,2,3,10,07,33,,,,400,400,1,400,400,0,,0,0,0,,8,,1100,3,1,1,4,,,,,,,,,,,,,,,,,1,04,,190
23,2011,11,1,35,0,03,5,2,6,4,1,,,2,3,10,07,34,,,,250,280,2,250,280,0,,0,0,0,6,3,,1025,3,3,1,4,,,,,,,,,,,,,,,,,1,08,,209
24,2011,11,1,35,4,05,,1,1,4,1,,,2,1,10,07,34,,,,300,300,1,300,300,0,,0,0,0,,4,,1083,3,3,2,4,,,,,,,,,,,,,,,,,1,06,1,894
25,2011,11,3,48,8,03,5,1,6,2,,1,2,2,3,19,07,34,,,,,,,,,,,,,,,,54,,,,,,8,3,2,0,06,4,2,,1,,1,1,,1,,,1,01,,625
26,2011,11,1,10,0,02,4,2,2,2,1,,,2,3,17,05,24,,,,400,320,1,400,320,80,3,0,0,0,,9,,1025,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,125
27,2011,11,1,35,0,08,,2,5,4,2,,,2,3,19,07,34,,,,150,180,2,190,220,0,,0,0,0,5,2,,1200,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,98
28,2011,11,4,35,0,12,,1,3,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,01,,237
29,2011,11,1,10,0,08,,1,1,4,1,,,2,3,18,08,35,,,,400,240,1,400,240,160,3,0,0,0,,240,,3100,1,1,1,4,,,,,,,,,,,,,,,,,1,02,,115
