REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2015,01,4,35,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,131
2,2015,01,4,13,0,09,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,1,11,,77
3,2015,01,1,48,7,07,,1,1,3,1,,,2,2,04,07,34,,,,720,720,1,720,720,0,,0,0,0,,10,,3000,3,1,3,3,,,,,,,,,,,,,,,,,1,03,1,450
4,2015,01,1,35,0,02,4,1,6,2,1,,,2,3,15,07,33,,,,400,340,1,400,340,60,2,0,0,0,,7,,1900,1,1,4,4,,,,,,,,,,,,,,,,,1,04,,329
5,2015,01,1,35,0,06,,1,4,4,1,,,2,3,04,09,39,,,,385,290,1,385,290,0,,0,0,0,,179,,5000,1,1,3,4,,,,,,,,,,,,,,,,,1,14,2,76
6,2015,01,4,48,7,12,,1,3,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,424
7,2015,01,1,35,0,04,,1,1,2,1,,,2,3,06,08,38,,,,400,400,1,400,400,80,1,0,0,0,,21,,2600,3,1,1,1,,,,,,,,,,,,,,,,,1,06,1,307
8,2015,01,4,10,0,09,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,1,11,,80
9,2015,01,1,48,8,12,,1,1,4,1,,,2,3,06,08,35,,,,400,820,1,400,820,0,,420,0,420,,129,,5000,1,1,3,4,,,,,,,,,,,,,,,,,,05,,101
10,2015,01,1,35,0,08,,2,6,4,1,,,2,3,08,06,28,,,,375,375,1,375,375,0,,0,0,0,,215,,1956,3,1,1,1,,,,,,,,,,,,,,,,,1,15,4,242
11,2015,01,1,35,0,04,,1,1,2,1,,,2,3,09,08,36,,,,400,400,1,400,400,0,,0,0,0,,131,,2100,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,196
12,2015,01,1,35,0,09,,2,1,5,1,,,1,3,16,05,22,,,,450,500,1,450,500,0,,0,0,0,,240,,4701,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,83
13,2015,01,4,35,3,02,3,1,6,3,,1,1,2,3,10,07,31,,,,,,,,,,,,,,,,4,,,,,,,,,4,09,6,,,,,,,,,,,2,04,,404
14,2015,01,3,59,9,08,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,52,4,1,,,31,2,,,,,,1,1,,,1,08,,908
15,2015,01,4,24,0,01,2,2,6,3,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,2,,,,,,,,,3,05,1,,,,,,,,,,,2,06,,119
