REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2009,09,4,24,2,01,1,2,6,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,867
2,2009,09,4,24,0,07,,2,2,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,1,06,2,472
3,2009,09,1,59,0,08,,2,1,2,1,,,2,3,14,02,08,,,,350,350,1,350,350,0,,0,0,0,,240,,2200,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,75
4,2009,09,1,35,0,04,,2,5,4,1,,,6,3,14,03,11,,,,400,400,1,400,400,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,14,1,238
5,2009,09,4,24,2,11,,1,1,5,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,602
6,2009,09,1,59,9,01,2,2,6,3,1,,,2,3,19,07,34,,,,180,180,2,180,180,0,,0,0,0,4,39,,925,3,1,2,4,,,,,,,,,,,,,,,,,2,18,,514
7,2009,09,1,35,5,05,,2,1,4,1,,,1,3,17,04,16,,,,375,375,1,375,375,0,,0,0,0,,12,,4125,3,1,4,4,,,,,,,,,,,,,,,,,1,03,2,384
8,2009,09,2,47,0,04,,2,1,6,2,,,1,3,17,04,16,2,6,2,400,0,1,540,0,,,,,,,121,,4082,1,4,4,4,,,,,,,,,,,,,,,,,1,03,1,209
9,2009,09,2,24,0,03,6,2,2,4,1,,,2,3,10,02,08,2,14,2,300,0,1,300,0,,,,,,,9,,950,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,86
10,2009,09,4,59,0,12,,2,3,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,145
11,2009,09,1,24,0,08,,1,2,4,1,,,2,3,13,07,34,,,,400,440,1,400,440,0,,0,40,40,,28,,3365,3,1,1,3,,,,,,,,,,,,,,,,,1,02,,132
12,2009,09,4,35,4,01,1,2,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,2,14,,793
13,2009,09,1,35,4,03,5,2,6,4,1,,,2,1,14,02,07,,,,400,400,1,400,400,0,,0,0,0,,8,,1538,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,916
14,2009,09,1,59,0,08,,2,2,5,1,,,1,3,17,05,21,,,,400,400,1,400,400,0,,0,0,0,,104,,2476,1,1,2,3,,,,,,,,,,,,,,,,,1,02,,91
15,2009,09,1,48,0,02,4,1,6,4,1,,,2,3,10,08,36,,,,240,320,2,240,320,0,,0,0,0,7,7,,1400,3,1,1,1,,,,,,,,,,,,,,,,,1,10,,349
16,2009,09,4,24,2,12,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,11,,793
17,2009,09,1,48,7,08,,2,6,6,1,,,1,1,16,05,20,,,,363,363,1,363,363,0,,0,0,0,,38,,5563,3,1,4,4,,,,,,,,,,,,,,,,,1,01,,380
18,2009,09,1,24,2,09,,1,3,1,1,,,2,3,12,02,05,,,,400,400,1,400,400,0,,0,0,0,,114,,4327,3,1,1,2,,,,,,,,,,,,,,,,,1,15,4,849
19,2009,09,2,24,2,08,,2,1,5,1,,,2,3,14,01,02,3,2,1,375,0,1,375,0,,,,,,,24,,4039,3,1,2,4,,,,,,,,,,,,,,,,,1,08,,751
20,2009,09,4,24,0,10,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,01,,414
21,2009,09,1,13,0,06,,2,1,4,1,,,2,3,17,05,24,,,,350,350,1,350,350,0,,0,0,0,,24,,2423,3,3,3,4,,,,,,,,,,,,,,,,,1,04,4,125
22,2009,09,1,24,0,03,5,1,6,4,1,,,2,3,15,03,13,,,,400,450,1,400,450,0,,50,0,50,,28,,875,3,1,3,4,,,,,,,,,,,,,,,,,1,01,,122
23,2009,09,1,10,0,01,2,2,6,1,1,,,2,3,19,07,34,,,,180,160,2,180,160,0,,0,0,0,4,17,,925,3,4,2,3,,,,,,,,,,,,,,,,,2,03,,119
24,2009,09,4,35,4,05,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,0,,1,11,,958
25,2009,09,1,48,0,02,4,1,6,2,1,,,2,3,11,08,35,,,,400,410,1,400,410,0,,0,10,10,,49,,1731,3,1,2,2,,,,,,,,,,,,,,,,,1,04,,191
26,2009,09,4,24,0,05,,2,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,1,06,1,93
27,2009,09,4,35,0,10,,2,1,4,,1,2,3,3,10,01,03,,,,,,,,,,,,,,,,240,,,,,,,,,5,07,7,,,,,,,,,,,1,05,,618
28,2009,09,1,46,6,11,,2,3,3,1,,,6,3,14,02,07,,,,30,70,2,30,70,,,,,,5,144,,,,,,,,,,,,,,,,,,,,,,,,01,,176
29,2009,09,4,59,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,11,,92
30,2009,09,2,13,0,02,3,2,6,2,1,,,2,3,19,07,34,3,2,2,350,0,1,350,0,,,,,,,4,,875,3,1,2,4,,,,,,,,,,,,,,,,,2,03,,118
31,2009,09,1,35,4,06,,1,1,1,1,,,6,2,06,08,35,,,,400,350,1,400,350,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,1,03,2,702
32,2009,09,1,13,0,06,,1,2,5,1,,,1,3,21,01,02,,,,375,375,1,375,375,0,,0,0,0,,36,,3590,1,1,2,4,,,,,,,,,,,,,,,,,1,03,3,126
33,2009,09,1,47,0,04,,1,1,2,1,,,2,3,15,07,33,,,,400,405,1,400,405,40,2,45,0,45,,22,,1600,1,1,2,4,,,,,,,,,,,,,,,,,1,06,1,113
34,2009,09,1,46,6,08,,2,1,6,1,,,1,2,17,04,16,,,,380,380,1,380,380,0,,0,0,0,,4,,3657,1,1,4,4,,,,,,,,,,,,,,,,,1,03,3,182
35,2009,09,1,35,3,10,,2,1,3,1,,,2,2,12,07,33,,,,400,400,1,400,400,0,,0,0,0,,56,,1923,3,1,3,4,,,,,,,,,,,,,,,,,1,10,4,479
36,2009,09,1,48,7,02,4,1,6,5,1,,,6,3,14,03,13,,,,350,320,1,350,320,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,1,01,,471
37,2009,09,4,12,0,11,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,11,,125
38,2009,09,4,59,9,03,5,2,6,3,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,2,16,,605
39,2009,09,1,48,0,04,,1,6,2,1,,,2,3,06,08,36,,,,500,60,1,500,60,0,,0,0,0,,26,,2000,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,152
40,2009,09,1,24,0,05,,1,2,4,1,,,2,3,17,01,02,,,,400,320,1,400,320,80,1,0,0,0,,80,,2885,3,1,1,3,,,,,,,,,,,,,,,,,1,03,2,144
41,2009,09,1,35,4,01,2,1,6,1,1,,,2,1,15,07,33,,,,240,130,2,240,130,0,,0,0,0,4,6,,950,3,3,2,2,,,,,,,,,,,,,,,,,1,12,,948
42,2009,09,1,24,0,01,2,1,6,3,1,,,2,3,19,07,32,,,,200,200,2,200,200,0,,0,0,0,4,22,,1100,3,1,2,3,,,,,,,,,,,,,,,,,2,03,,145
43,2009,09,1,48,0,06,,1,2,4,1,,,2,3,04,09,40,,,,320,420,1,320,420,0,,100,0,100,,66,,2600,3,1,2,3,,,,,,,,,,,,,,,,,1,04,4,54
44,2009,09,4,35,3,09,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,1,12,3,185
45,2009,09,1,35,4,03,5,1,2,2,1,,,2,3,11,08,38,,,,400,400,1,400,400,0,,0,0,0,,25,,2019,3,1,2,3,,,,,,,,,,,,,,,,,1,02,,1055
46,2009,09,1,48,8,03,6,2,2,4,1,,,2,2,17,02,09,,,,250,250,2,250,250,0,,0,0,0,7,1,,1500,3,3,1,1,,,,,,,,,,,,,,,,,1,03,2,129
47,2009,09,4,13,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,11,,114
48,2009,09,4,12,0,02,4,2,6,5,,1,1,2,3,20,06,27,,,,,,,,,,,,,,,,3,,,,,,,,,3,05,2,,,,,,,,,,,2,01,,120
49,2009,09,4,35,0,10,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,1,11,,110
50,2009,09,1,59,0,08,,1,1,1,1,,,3,3,01,01,04,,,,600,700,1,600,700,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,02,,133
51,2009,09,1,46,0,08,,2,1,0,1,,,6,3,08,10,42,,,,350,350,1,350,350,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,09,3,77
