REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2016,06,1,35,4,09,,2,1,6,1,,,6,3,12,02,05,,,,480,450,1,480,450,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,1,04,4,833
2,2016,06,1,24,2,11,,1,1,6,1,,,3,2,09,01,03,,,,900,450,1,900,450,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,02,,954
3,2016,06,1,24,2,08,,2,2,4,1,,,1,3,18,03,11,,,,350,350,1,350,350,0,,0,0,0,,240,,3200,1,1,4,4,,,,,,,,,,,,,,,,,1,04,4,786
4,2016,06,1,48,0,04,,1,1,5,1,,,2,3,14,02,05,,,,400,400,1,400,400,0,,0,0,0,,50,,6164,3,1,3,4,,,,,,,,,,,,,,,,,1,06,1,78
5,2016,06,1,48,0,07,,2,1,2,1,,,2,1,17,02,09,,,,350,400,1,350,400,0,,50,0,50,,82,,1900,3,1,1,1,,,,,,,,,,,,,,,,,1,04,4,475
6,2016,06,1,35,3,07,,1,1,5,1,,,2,2,19,07,31,,,,500,480,1,500,480,0,,50,0,50,,11,,1800,3,1,1,4,,,,,,,,,,,,,,,,,1,06,1,519
7,2016,06,3,24,2,08,,2,1,3,,1,1,2,3,19,07,34,,,,,,,,,,,,,,,,62,,,,,,14,2,1,4,12,4,2,,,,1,1,,1,,,1,05,,711
8,2016,06,1,48,0,02,4,2,6,4,1,,,2,3,10,07,33,,,,400,400,1,400,400,0,,0,0,0,,22,,1250,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,228
9,2016,06,1,48,0,09,,1,3,4,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,163,,4400,3,1,4,4,,,,,,,,,,,,,,,,,1,18,,286
10,2016,06,1,12,0,01,2,1,6,2,1,,,2,3,08,10,42,,,,400,400,1,400,400,0,,0,0,0,,2,,1100,3,1,3,4,,,,,,,,,,,,,,,,,1,14,,188
11,2016,06,1,48,0,06,,1,1,1,1,,,2,3,10,07,31,,,,400,400,1,400,400,20,1,0,30,30,,71,,3606,3,1,1,4,,,,,,,,,,,,,,,,,1,14,2,54
