REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2016,09,1,35,0,05,,1,1,5,1,,,1,3,16,05,20,,,,400,450,1,400,450,0,,0,50,50,,157,,2750,1,1,2,4,,,,,,,,,,,,,,,,,1,03,1,80
2,2016,09,3,48,0,04,,2,1,4,,1,1,2,3,10,07,34,,,,,,,,,,,,,,,,51,,,,,,2,3,1,2,02,3,2,,1,1,1,,,1,,,1,06,1,76
3,2016,09,1,48,7,06,,1,1,4,1,,,1,2,21,02,08,,,,400,400,1,400,400,0,,0,0,0,,74,,5769,2,1,4,4,,,,,,,,,,,,,,,,,1,03,2,550
4,2016,09,3,46,6,03,6,1,6,2,,1,2,2,3,10,02,09,,,,,,,,,,,,,,,,3,,,,,,16,2,1,4,13,4,2,,,,1,,,1,,,1,18,,90
5,2016,09,1,48,8,08,,2,1,4,1,,,2,2,17,05,24,,,,325,325,1,325,325,0,,0,0,0,,73,,1200,3,1,2,2,,,,,,,,,,,,,,,,,1,04,4,136
6,2016,09,4,46,6,03,6,1,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,1,01,,81
7,2016,09,4,59,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,11,,231
8,2016,09,1,12,0,07,,1,1,4,1,,,2,3,07,10,43,,,,400,520,1,400,520,0,,120,0,120,,146,,2240,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,95
9,2016,09,2,13,0,04,,1,1,4,1,,,1,3,05,08,35,3,1,1,400,0,1,400,0,,,,,,,124,,4215,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,119
10,2016,09,1,46,0,09,,1,1,4,1,,,6,3,01,01,04,,,,650,990,1,650,990,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,05,,109
11,2016,09,1,46,6,02,4,2,6,3,1,,,2,3,20,07,34,,,,400,400,1,400,400,0,,0,0,0,,41,,1300,3,1,2,2,,,,,,,,,,,,,,,,,1,17,,186
12,2016,09,1,46,0,10,,1,6,1,1,,,2,1,11,08,36,,,,700,600,1,700,600,0,,0,0,0,,15,,1374,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,169
