REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2009,04,4,24,0,12,,2,1,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,198
2,2009,04,1,24,0,06,,2,6,3,1,,,2,3,07,10,42,,,,400,360,1,400,360,40,4,0,0,0,,124,,1829,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,243
3,2009,04,4,24,0,09,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,1,11,,113
4,2009,04,1,35,0,10,,1,1,2,1,,,2,3,07,01,02,,,,450,360,1,450,360,80,3,0,40,40,,190,,4188,3,1,3,4,,,,,,,,,,,,,,,,,1,05,,274
5,2009,04,2,35,4,02,3,2,6,2,1,,,2,1,10,07,33,3,3,2,350,0,1,350,0,,,,,,,7,,700,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,1007
6,2009,04,2,46,6,10,,1,6,6,1,,,2,3,20,05,21,3,1,2,400,0,1,400,0,,,,,,,165,,1683,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,152
7,2009,04,1,24,0,05,,1,4,2,1,,,2,3,20,08,38,,,,400,320,1,400,320,80,3,0,0,0,,11,,1000,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,121
8,2009,04,1,24,0,08,,2,1,6,1,,,1,2,16,05,20,,,,400,280,1,400,280,120,3,0,0,0,,204,,11058,3,1,4,4,,,,,,,,,,,,,,,,,1,04,4,89
9,2009,04,1,35,0,08,,2,1,1,2,,,1,3,16,03,11,,,,400,320,1,460,380,80,3,0,0,0,,240,,1923,3,1,3,4,,,,,,,,,,,,,,,,,1,03,1,95
10,2009,04,1,46,6,04,,1,6,3,1,,,2,2,19,07,31,,,,350,180,1,350,180,0,,0,0,0,,5,,975,3,1,1,4,,,,,,,,,,,,,,,,,1,16,,171
