REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2014,10,1,59,0,01,1,1,6,1,1,,,2,3,18,07,34,,,,120,100,2,120,100,0,,0,0,0,4,11,,1025,3,1,1,4,,,,,,,,,,,,,,,,,2,09,,685
2,2014,10,1,35,0,05,,1,2,4,1,,,2,3,12,07,32,,,,400,320,1,400,320,80,3,0,0,0,,8,,2885,3,1,1,4,,,,,,,,,,,,,,,,,1,03,3,109
3,2014,10,4,35,0,10,,2,5,4,,1,1,1,2,21,02,09,,,,,,,,,,,,,,,,2,,,,,,,,,4,10,5,,,,,,,,,,,1,01,,181
4,2014,10,1,35,5,08,,2,2,2,1,,,2,2,11,08,38,,,,400,440,1,400,440,80,3,120,0,120,,211,,2500,1,1,3,3,,,,,,,,,,,,,,,,,1,08,,471
5,2014,10,4,59,0,12,,2,3,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,238
6,2014,10,1,24,2,12,,1,2,4,1,,,2,3,11,08,36,,,,135,250,2,135,250,0,,0,0,0,7,17,,1830,3,4,1,2,,,,,,,,,,,,,,,,,,05,,611
7,2014,10,4,12,0,02,3,2,6,5,,1,1,2,3,04,03,12,,,,,,,,,,,,,,,,5,,,,,,,,,3,05,3,,,,,,,,,,,2,01,,149
8,2014,10,1,35,3,08,,1,1,6,1,,,2,3,18,03,12,,,,500,700,1,500,700,0,,0,100,100,,240,,5962,3,1,3,4,,,,,,,,,,,,,,,,,1,06,3,399
9,2014,10,1,48,0,03,6,2,6,5,1,,,1,3,17,04,17,,,,390,380,1,390,380,0,,0,0,0,,41,,3600,1,1,4,4,,,,,,,,,,,,,,,,,1,18,,146
10,2014,10,4,47,0,12,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,123
11,2014,10,1,47,0,08,,2,1,4,1,,,1,3,17,04,18,,,,400,360,1,400,360,0,,0,0,0,,240,,2315,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,102
12,2014,10,1,35,0,03,6,1,2,4,1,,,2,3,10,07,34,,,,400,320,1,400,320,80,3,0,0,0,,56,,1600,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,244
13,2014,10,1,13,0,09,,1,1,5,1,,,2,3,07,07,33,,,,400,320,1,400,320,80,3,0,0,0,,52,,1500,3,1,3,4,,,,,,,,,,,,,,,,,1,02,,152
14,2014,10,1,47,0,03,5,1,1,5,2,,,3,3,13,01,03,,,,500,400,1,900,750,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,1,02,,137
15,2014,10,1,11,0,08,,2,1,4,1,,,1,3,11,08,38,,,,200,200,2,200,200,0,,0,0,0,7,59,,1600,1,1,1,4,,,,,,,,,,,,,,,,,1,02,,37
16,2014,10,1,35,0,05,,2,4,4,1,,,2,3,20,02,09,,,,400,320,1,400,320,80,3,0,0,0,,5,,1500,3,1,1,1,,,,,,,,,,,,,,,,,1,14,2,261
17,2014,10,4,46,6,12,,2,3,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,01,,42
18,2014,10,3,46,6,02,4,1,2,4,,1,1,6,3,12,07,32,,,,,,,,,,,,,,,,4,,,,,,4,3,1,0,06,2,2,,1,,1,,1,1,,,1,08,,70
19,2014,10,1,59,9,07,,2,4,2,1,,,2,3,20,05,26,,,,400,400,1,400,400,0,,0,0,0,,17,,1250,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,145
20,2014,10,2,24,0,04,,2,2,0,1,,,2,3,17,07,34,0,3,2,20,0,2,20,0,,,,,,2,19,,1046,3,1,1,1,,,,,,,,,,,,,,,,,1,09,1,554
21,2014,10,3,24,2,09,,1,1,5,,1,2,2,2,15,07,34,,,,,,,,,,,,,,,,3,,,,,,4,2,1,4,10,1,2,1,1,,,,,1,,,1,09,3,564
22,2014,10,4,48,0,12,,1,3,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,01,,414
23,2014,10,4,46,0,10,,1,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,1,01,,75
24,2014,10,1,59,0,08,,2,1,4,1,,,1,3,17,04,16,,,,240,80,2,240,80,0,,0,0,0,5,240,,4163,1,1,4,4,,,,,,,,,,,,,,,,,1,04,4,585
25,2014,10,4,35,5,12,,2,3,4,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,353
26,2014,10,1,24,0,07,,1,2,1,1,,,2,3,06,08,35,,,,500,480,1,500,480,80,3,160,0,160,,178,,3000,3,1,1,1,,,,,,,,,,,,,,,,,1,04,4,365
27,2014,10,1,35,0,01,1,1,6,1,1,,,2,3,10,07,34,,,,150,80,2,150,80,0,,0,0,0,6,8,,1025,3,4,2,2,,,,,,,,,,,,,,,,,2,03,,259
