REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2012,02,1,35,4,02,4,1,6,4,1,,,2,3,20,08,35,,,,480,480,1,480,480,0,,0,0,0,,65,,1469,3,1,1,4,,,,,,,,,,,,,,,,,1,04,,975
2,2012,02,1,24,1,05,,1,1,3,1,,,3,3,06,01,04,,,,400,400,1,400,400,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,1,03,1,417
3,2012,02,4,24,0,10,,2,1,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,224
4,2012,02,1,12,0,03,6,1,6,4,1,,,2,3,14,03,11,,,,400,400,1,400,400,0,,0,0,0,,56,,1923,2,1,3,4,,,,,,,,,,,,,,,,,1,01,,185
5,2012,02,4,35,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,06,,281
6,2012,02,4,35,0,08,,1,2,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,1,08,,398
7,2012,02,1,59,0,08,,2,1,4,1,,,2,3,17,02,05,,,,210,210,2,210,210,0,,0,0,0,6,201,,2675,3,1,2,2,,,,,,,,,,,,,,,,,1,08,,164
8,2012,02,1,35,0,02,4,2,6,4,1,,,2,2,04,02,05,,,,400,400,1,400,400,0,,0,0,0,,23,,1350,3,1,3,4,,,,,,,,,,,,,,,,,1,01,,286
9,2012,02,1,35,0,06,,1,1,4,1,,,2,3,12,07,32,,,,375,320,1,375,320,75,3,0,20,20,,240,,2436,3,1,4,4,,,,,,,,,,,,,,,,,1,03,2,222
10,2012,02,4,48,0,02,3,2,6,3,,1,1,2,3,10,07,33,,,,,,,,,,,,,,,,5,,,,,,,,,3,05,6,,,,,,,,,,,2,04,,267
