REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2015,07,4,59,9,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,03,,729
2,2015,07,4,46,6,03,5,2,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,2,,1,18,,70
3,2015,07,4,48,0,09,,2,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,1,11,,49
4,2015,07,4,24,0,12,,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,11,,361
5,2015,07,1,24,0,04,,1,6,1,1,,,2,3,15,07,34,,,,300,140,1,300,140,60,1,0,0,0,,10,,1600,3,4,1,1,,,,,,,,,,,,,,,,,1,02,,587
6,2015,07,4,59,0,12,,1,2,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,11,,339
7,2015,07,1,24,2,09,,1,5,4,1,,,2,3,10,08,35,,,,400,400,1,400,400,0,,0,0,0,,4,,1507,3,3,3,4,,,,,,,,,,,,,,,,,1,18,,927
8,2015,07,4,46,6,12,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,66
9,2015,07,1,10,0,02,3,2,6,4,1,,,2,3,17,04,18,,,,400,400,1,400,400,0,,0,0,0,,7,,1200,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,37
10,2015,07,1,46,0,10,,1,1,3,1,,,5,3,01,01,04,,,,500,600,1,500,600,,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,1,04,4,123
11,2015,07,4,24,0,11,,1,2,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,11,,480
12,2015,07,1,48,0,07,,1,1,6,1,,,2,2,06,08,35,,,,400,700,1,400,700,0,,0,0,0,,24,,4500,3,1,3,3,,,,,,,,,,,,,,,,,1,01,,67
13,2015,07,1,46,6,06,,1,1,2,1,,,2,3,07,08,38,,,,400,450,1,400,450,0,,50,0,50,,240,,2600,1,1,1,2,,,,,,,,,,,,,,,,,1,03,1,165
14,2015,07,1,35,0,03,6,1,1,2,1,,,1,3,15,08,37,,,,400,400,1,400,400,0,,0,0,0,,49,,2400,1,1,4,4,,,,,,,,,,,,,,,,,1,06,1,199
15,2015,07,4,35,0,04,,2,1,4,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,1,06,1,269
16,2015,07,4,35,0,11,,2,1,4,,1,2,6,3,15,07,34,,,,,,,,,,,,,,,,75,,,,,,,,,1,01,4,,,,,,,,,,,,05,,975
17,2015,07,2,24,0,07,,2,1,5,1,,,1,3,16,01,02,3,2,1,350,0,1,350,0,,,,,,,228,,4835,2,1,1,1,,,,,,,,,,,,,,,,,1,02,,129
18,2015,07,1,35,4,10,,2,1,2,1,,,4,3,18,06,27,,,,500,300,1,500,300,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,1,02,,628
19,2015,07,1,47,0,01,2,2,6,2,1,,,2,3,19,07,34,,,,300,320,1,300,320,0,,0,0,0,,1,,1600,3,2,1,1,,,,,,,,,,,,,,,,,1,03,,135
20,2015,07,4,24,0,12,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,11,,120
21,2015,07,1,59,0,02,4,2,6,4,1,,,2,3,07,10,43,,,,400,400,1,400,400,0,,0,0,0,,12,,2437,1,1,2,4,,,,,,,,,,,,,,,,,1,14,1,206
22,2015,07,1,35,0,01,2,1,6,2,1,,,2,3,07,10,43,,,,400,380,1,400,380,0,,0,0,0,,4,,2000,3,3,4,4,,,,,,,,,,,,,,,,,1,03,,118
23,2015,07,2,24,2,07,,1,2,1,1,,,2,3,06,07,33,3,1,2,300,0,1,300,0,,,,,,,5,,2170,3,2,2,2,,,,,,,,,,,,,,,,,1,03,3,1084
24,2015,07,4,59,0,12,,1,5,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,01,,116
25,2015,07,4,24,2,08,,2,2,5,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,1,06,3,870
26,2015,07,1,12,0,07,,2,2,4,1,,,2,3,11,08,35,,,,400,480,1,400,480,0,,80,0,80,,240,,3462,1,1,3,4,,,,,,,,,,,,,,,,,1,03,2,195
27,2015,07,1,59,9,10,,1,4,2,1,,,6,3,06,01,04,,,,350,350,1,350,350,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,1,01,,107
28,2015,07,3,12,0,09,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,99,4,1,,,38,2,,1,,,,,1,,,1,10,4,84
29,2015,07,1,35,0,04,,1,2,1,1,,,2,3,06,03,13,,,,400,400,1,400,400,0,,0,0,0,,35,,2000,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,162
30,2015,07,3,59,0,07,,2,6,6,,1,2,2,1,20,02,05,,,,,,,,,,,,,,,,5,,,,,,2,3,2,0,06,2,2,,,,1,1,1,1,,,1,01,,141
31,2015,07,1,35,3,07,,1,1,5,1,,,2,1,14,03,13,,,,400,400,1,400,400,0,,0,0,0,,64,,1300,1,1,3,3,,,,,,,,,,,,,,,,,1,06,1,591
32,2015,07,4,59,9,01,2,1,6,2,,1,2,2,3,10,08,38,,,,,,,,,,,,,,,,74,,,,,,,,,4,10,1,,,,,,,,,,,1,03,,779
33,2015,07,1,48,0,11,,1,5,5,1,,,6,3,12,01,02,,,,250,250,2,250,250,,,,,,5,240,,,,,,,,,,,,,,,,,,,,,,,,01,,87
34,2015,07,2,35,0,04,,2,6,6,1,,,1,3,16,05,20,3,3,1,300,0,1,300,0,,,,,,,95,,4679,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,107
35,2015,07,1,48,7,06,,2,1,2,1,,,1,3,05,02,08,,,,400,410,1,400,410,0,,0,10,10,,3,,2650,3,3,4,4,,,,,,,,,,,,,,,,,1,03,2,430
36,2015,07,1,12,0,09,,2,2,3,1,,,1,3,16,07,34,,,,350,280,1,350,280,70,3,0,0,0,,129,,2252,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,167
37,2015,07,4,35,4,10,,1,2,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,1,12,3,832
38,2015,07,4,35,4,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,01,,889
39,2015,07,3,12,0,05,,2,2,5,,1,1,1,3,21,02,09,,,,,,,,,,,,,,,,9,,,,,,10,2,1,4,10,3,2,,,,1,1,,1,,,1,05,,158
40,2015,07,1,48,0,03,5,2,1,4,1,,,2,3,19,07,31,,,,400,400,1,400,400,0,,0,0,0,,51,,1700,3,1,2,4,,,,,,,,,,,,,,,,,1,02,,75
41,2015,07,4,47,0,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,01,,101
42,2015,07,1,59,0,03,6,2,1,4,1,,,2,1,01,09,40,,,,500,500,1,500,500,0,,0,0,0,,1,,1025,3,2,2,2,,,,,,,,,,,,,,,,,1,03,1,119
43,2015,07,1,12,0,10,,2,5,0,1,,,2,3,10,07,33,,,,120,120,2,120,120,0,,0,0,0,7,10,,1100,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,172
44,2015,07,1,35,0,07,,2,5,4,1,,,2,3,10,07,33,,,,210,210,2,210,210,0,,0,0,0,4,13,,1100,3,4,2,4,,,,,,,,,,,,,,,,,2,01,,263
45,2015,07,1,35,3,08,,1,6,3,1,,,6,3,14,03,12,,,,150,75,2,150,75,,,,,,7,97,,,,,,,,,,,,,,,,,,,,,,,1,01,,540
46,2015,07,4,24,2,11,,2,3,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,03,,763
47,2015,07,1,13,0,06,,2,1,6,1,,,4,3,17,04,14,,,,350,320,1,350,320,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,02,,144
48,2015,07,1,47,0,11,,2,6,2,1,,,2,3,13,02,08,,,,200,200,2,200,200,0,,0,0,0,5,109,,2000,3,1,1,1,,,,,,,,,,,,,,,,,,01,,67
49,2015,07,1,35,0,06,,2,1,4,1,,,1,3,17,05,24,,,,350,275,1,350,275,75,3,0,0,0,,71,,2800,1,1,1,4,,,,,,,,,,,,,,,,,1,03,3,408
50,2015,07,1,10,0,09,,1,1,0,1,,,2,3,15,07,34,,,,400,400,1,400,400,0,,0,0,0,,27,,1050,3,1,4,4,,,,,,,,,,,,,,,,,1,04,4,175
