REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2006,07,4,35,0,11,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,11,,173
2,2006,07,2,48,0,02,4,2,6,3,1,,,2,3,19,07,34,0,3,2,80,0,2,80,0,,,,,,4,12,,1400,3,1,2,4,,,,,,,,,,,,,,,,,2,01,,237
3,2006,07,4,35,0,12,,2,4,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,95
4,2006,07,1,24,0,10,,1,1,3,1,,,3,3,10,01,03,,,,600,600,1,600,600,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,05,,106
5,2006,07,1,24,0,01,1,1,6,1,1,,,2,3,19,07,34,,,,350,350,1,350,350,0,,0,0,0,,1,,765,3,3,2,2,,,,,,,,,,,,,,,,,1,06,,558
6,2006,07,1,24,0,07,,1,2,4,1,,,2,3,06,07,34,,,,280,380,2,280,380,0,,0,0,0,6,2,,1000,3,4,1,4,,,,,,,,,,,,,,,,,1,02,,116
7,2006,07,1,59,0,08,,1,2,4,1,,,1,2,17,01,02,,,,375,150,1,375,150,210,3,0,0,0,,123,,3600,2,1,4,4,,,,,,,,,,,,,,,,,1,02,,120
8,2006,07,4,46,0,12,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,11,,94
9,2006,07,2,46,0,08,,2,1,2,1,,,2,3,10,07,34,3,2,2,350,0,1,350,0,,,,,,,6,,730,3,1,1,1,,,,,,,,,,,,,,,,,1,08,,135
10,2006,07,1,35,0,02,4,2,6,4,1,,,2,3,04,03,13,,,,400,400,1,400,400,0,,0,0,0,,7,,1750,1,4,3,4,,,,,,,,,,,,,,,,,1,01,,113
