REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2007,09,1,24,0,06,,2,2,5,1,,,2,3,10,02,05,,,,350,350,1,350,350,0,,0,0,0,,47,,2198,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,123
2,2007,09,4,59,9,08,,2,5,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,1,16,3,576
3,2007,09,1,59,0,09,,1,1,3,1,,,1,3,21,05,25,,,,350,380,1,350,380,0,,30,0,30,,49,,2200,3,1,2,4,,,,,,,,,,,,,,,,,1,03,3,359
4,2007,09,1,24,2,08,,2,1,3,1,,,2,3,11,02,09,,,,400,500,1,400,500,0,,100,0,100,,240,,2200,3,1,2,4,,,,,,,,,,,,,,,,,1,10,4,837
5,2007,09,1,10,0,07,,2,1,1,1,,,2,3,19,07,34,,,,420,430,1,420,430,0,,0,0,0,,4,,725,3,2,1,1,,,,,,,,,,,,,,,,,1,08,,73
6,2007,09,1,48,0,03,5,1,2,4,1,,,2,3,10,08,35,,,,400,400,1,400,400,0,,0,0,0,,59,,2700,3,1,2,2,,,,,,,,,,,,,,,,,1,06,1,389
7,2007,09,1,48,7,09,,1,4,0,1,,,2,3,04,07,31,,,,400,400,1,400,400,0,,0,0,0,,5,,4087,3,1,2,4,,,,,,,,,,,,,,,,,1,18,,488
8,2007,09,1,59,9,03,5,1,6,4,1,,,2,1,14,08,35,,,,280,280,2,280,280,0,,0,0,0,4,1,,1000,3,1,2,4,,,,,,,,,,,,,,,,,1,03,,397
9,2007,09,1,47,0,10,,1,1,6,1,,,5,3,17,04,14,,,,500,600,1,500,600,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,02,,119
10,2007,09,1,59,0,07,,1,5,4,1,,,2,3,08,08,35,,,,400,400,1,400,400,0,,0,0,0,,240,,3200,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,181
11,2007,09,1,35,0,08,,2,1,4,1,,,1,3,17,04,16,,,,300,300,1,300,300,0,,0,0,0,,216,,3100,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,169
12,2007,09,1,35,0,07,,1,1,4,1,,,2,3,20,08,35,,,,400,400,1,400,400,0,,0,0,0,,45,,2000,3,1,2,3,,,,,,,,,,,,,,,,,1,03,1,215
13,2007,09,4,24,2,04,,1,2,0,,1,1,2,3,08,08,35,,,,,,,,,,,,,,,,68,,,,,,,,,4,13,2,,,,,,,,,0,,1,12,1,615
14,2007,09,1,10,0,02,3,1,6,4,1,,,2,3,20,08,35,,,,400,610,1,400,610,0,,110,0,110,,4,,1100,3,2,1,4,,,,,,,,,,,,,,,,,1,03,,55
15,2007,09,1,35,0,06,,2,6,4,1,,,2,3,19,07,34,,,,225,225,2,225,225,0,,0,0,0,7,5,,1032,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,199
16,2007,09,1,35,4,05,,2,6,1,1,,,2,2,19,01,03,,,,400,500,1,400,500,0,,50,0,50,,7,,1000,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,768
17,2007,09,4,35,4,02,4,2,1,2,,1,1,2,1,08,10,43,,,,,,,,,,,,,,,,3,,,,,,,,,2,03,10,,,,,,,,,,,1,06,1,882
18,2007,09,1,24,0,05,,1,2,4,1,,,3,3,14,03,12,,,,400,400,1,400,400,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,1,03,1,470
19,2007,09,4,47,0,01,2,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,118
20,2007,09,1,35,4,01,2,1,6,1,1,,,2,3,10,07,34,,,,170,170,2,170,170,0,,0,0,0,4,2,,805,3,1,2,4,,,,,,,,,,,,,,,,,2,14,,908
21,2007,09,1,24,2,05,,1,1,5,2,,,2,2,14,02,05,,,,400,260,1,540,400,140,3,0,0,0,,4,,4087,3,1,2,2,,,,,,,,,,,,,,,,,1,06,1,832
22,2007,09,4,35,4,01,1,1,6,0,,1,2,2,1,18,07,34,,,,,,,,,,,,,,,,13,,,,,,,,,3,05,10,,,,,,,,,,,2,14,,692
23,2007,09,4,13,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,11,,115
24,2007,09,1,48,0,09,,1,1,1,1,,,2,3,13,07,34,,,,200,300,2,200,300,0,,0,0,0,5,23,,1000,3,1,1,4,,,,,,,,,,,,,,,,,1,02,,124
25,2007,09,2,48,8,07,,1,6,4,1,,,2,3,18,08,35,3,1,1,375,0,1,375,0,,,,,,,240,,2000,1,1,3,3,,,,,,,,,,,,,,,,,1,15,4,459
26,2007,09,4,35,0,12,,2,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,,01,,147
27,2007,09,1,47,0,01,2,1,6,1,1,,,2,3,19,07,34,,,,120,80,2,120,80,0,,0,0,0,4,29,,900,3,1,1,1,,,,,,,,,,,,,,,,,2,03,,104
28,2007,09,4,35,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,01,,163
29,2007,09,4,24,0,11,,2,2,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,11,,457
30,2007,09,3,13,0,03,6,2,6,5,,1,2,2,3,10,07,33,,,,,,,,,,,,,,,,15,,,,,,1,2,1,4,10,1,2,,,,1,,,1,,,1,01,,103
31,2007,09,4,11,0,01,1,2,6,0,,1,2,6,3,20,05,26,,,,,,,,,,,,,,,,4,,,,,,,,,3,05,1,,,,,,,,,,,2,03,,51
32,2007,09,2,13,0,05,,2,5,4,1,,,6,3,17,04,17,1,1,,250,0,2,250,0,,,,,,7,72,,,,,,,,,,,,,,,,,,,,,,,1,14,2,118
33,2007,09,1,47,0,09,,1,1,2,1,,,5,3,01,01,04,,,,990,990,1,990,990,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,03,3,119
34,2007,09,1,35,0,09,,2,1,4,1,,,2,3,17,05,24,,,,400,400,1,400,400,0,,0,0,0,,47,,1950,1,1,4,4,,,,,,,,,,,,,,,,,1,02,,199
35,2007,09,1,47,0,05,,2,1,2,1,,,1,3,17,02,09,,,,80,160,2,80,160,0,,0,0,0,2,201,,1650,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,98
36,2007,09,4,48,8,01,2,1,6,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,110
37,2007,09,1,59,9,04,,1,6,6,1,,,2,3,15,01,02,,,,375,475,1,375,475,0,,0,100,100,,6,,6000,3,1,3,4,,,,,,,,,,,,,,,,,1,01,,142
38,2007,09,4,24,0,08,,1,1,4,,1,1,2,3,10,07,33,,,,,,,,,,,,,,,,6,,,,,,,,,4,11,12,,,,,,,,,,,2,10,4,299
