REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2018,03,1,35,0,03,6,1,6,5,1,,,1,3,14,03,12,,,,375,395,1,375,395,0,,20,0,20,,20,,3333,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,346
2,2018,03,1,35,4,05,,2,1,5,1,,,2,1,19,07,34,,,,200,210,2,200,210,0,,0,0,0,7,8,,1140,3,3,1,4,,,,,,,,,,,,,,,,,1,03,1,861
3,2018,03,1,35,4,08,,2,1,2,1,,,2,2,10,07,31,,,,350,350,1,350,350,0,,0,0,0,,8,,2000,3,1,2,4,,,,,,,,,,,,,,,,,1,08,,835
4,2018,03,1,10,0,05,,1,2,4,1,,,2,3,07,08,35,,,,400,240,1,400,240,160,1,0,0,0,,234,,2500,3,1,2,3,,,,,,,,,,,,,,,,,1,06,1,148
5,2018,03,4,46,0,07,,1,5,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,1,01,,162
6,2018,03,1,35,0,01,2,2,6,1,1,,,2,1,19,07,34,,,,70,70,2,70,70,0,,0,0,0,4,16,,1200,3,1,1,1,,,,,,,,,,,,,,,,,2,18,,273
7,2018,03,1,10,0,02,3,2,6,2,1,,,1,3,16,02,09,,,,100,100,2,100,100,0,,0,0,0,4,7,,750,3,3,4,4,,,,,,,,,,,,,,,,,2,10,,108
8,2018,03,1,10,0,06,,1,1,3,1,,,2,3,15,07,33,,,,400,400,1,400,400,0,,0,0,0,,29,,2548,3,1,2,4,,,,,,,,,,,,,,,,,1,03,2,139
9,2018,03,1,59,9,10,,1,4,2,1,,,2,3,10,01,03,,,,400,400,1,400,400,0,,0,15,15,,240,,2927,1,1,3,4,,,,,,,,,,,,,,,,,1,14,3,818
10,2018,03,3,47,0,09,,1,6,2,,1,1,2,3,06,08,36,,,,,,,,,,,,,,,,42,,,,,,18,2,1,4,09,6,2,,,,1,,,1,,,1,01,,87
11,2018,03,3,48,8,01,2,1,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,,20,2,,1,,,1,,3,,,2,03,,99
12,2018,03,4,10,0,09,,2,4,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,1,01,,77
