REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2015,04,1,24,0,07,,2,2,2,1,,,2,3,15,07,34,,,,340,340,1,340,340,0,,0,0,0,,84,,1050,3,1,2,2,,,,,,,,,,,,,,,,,1,03,3,114
2,2015,04,1,59,0,10,,2,4,4,2,,,2,3,20,02,06,,,,375,375,1,425,425,0,,0,0,0,,34,,4250,1,3,1,4,,,,,,,,,,,,,,,,,1,15,4,226
3,2015,04,1,48,7,05,,1,1,6,2,,,2,1,10,07,33,,,,400,400,1,550,550,0,,0,0,0,,36,,1900,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,629
4,2015,04,1,11,0,08,,1,1,2,1,,,2,3,08,10,43,,,,400,400,1,400,400,0,,0,0,0,,240,,2500,1,1,2,3,,,,,,,,,,,,,,,,,1,03,3,38
5,2015,04,1,35,3,09,,1,5,5,1,,,2,3,18,01,02,,,,400,375,1,400,375,0,,0,0,0,,78,,7404,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,283
6,2015,04,4,59,9,01,1,2,6,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,647
7,2015,04,1,47,0,01,2,2,6,4,1,,,2,3,17,05,24,,,,400,400,1,400,400,0,,0,0,0,,3,,1155,3,1,1,2,,,,,,,,,,,,,,,,,1,03,,123
8,2015,04,1,35,4,02,4,1,6,2,1,,,2,1,06,08,35,,,,450,400,1,450,400,0,,0,0,0,,36,,1800,3,1,1,1,,,,,,,,,,,,,,,,,1,18,,965
9,2015,04,3,59,9,03,6,2,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,,,16,2,,,,1,,,0,,,1,06,1,130
10,2015,04,4,35,0,12,,2,3,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,228
11,2015,04,3,24,2,03,5,2,6,3,,1,2,2,1,10,07,31,,,,,,,,,,,,,,,,10,,,,,,1,1,2,4,12,1,2,,,,,,,,,1,3,18,,747
12,2015,04,1,59,0,03,6,1,2,5,1,,,1,3,16,05,24,,,,150,150,2,150,150,0,,0,0,0,4,20,,2567,3,1,2,3,,,,,,,,,,,,,,,,,2,02,,238
13,2015,04,1,47,0,08,,2,1,4,1,,,1,3,17,02,09,,,,320,320,1,320,320,0,,0,0,0,,120,,2100,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,85
14,2015,04,1,35,0,09,,2,1,4,1,,,2,3,10,07,33,,,,260,260,2,260,260,0,,0,0,0,7,79,,1100,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,186
15,2015,04,3,47,0,08,,1,1,4,,1,1,2,3,14,01,02,,,,,,,,,,,,,,,,240,,,,,,,8,3,0,06,1,2,,,,,,,,,,1,10,4,174
16,2015,04,4,24,0,12,,1,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,103
17,2015,04,1,24,0,03,6,2,2,4,1,,,6,3,20,07,34,,,,400,500,1,400,500,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,1,02,,86
18,2015,04,1,48,7,08,,2,5,5,1,,,1,3,16,05,20,,,,400,400,1,400,400,0,,0,0,0,,237,,4567,1,1,2,4,,,,,,,,,,,,,,,,,1,18,,569
19,2015,04,4,24,0,12,,2,3,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,132
20,2015,04,4,47,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,11,,80
21,2015,04,4,12,0,12,,2,6,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,01,,135
22,2015,04,4,48,7,08,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,1,05,,117
23,2015,04,1,59,9,07,,2,2,5,1,,,2,3,18,06,29,,,,440,440,1,440,440,0,,0,0,0,,30,,1255,3,1,1,1,,,,,,,,,,,,,,,,,1,09,2,890
24,2015,04,1,24,0,06,,1,2,4,1,,,1,3,17,04,16,,,,375,375,1,375,375,0,,0,0,0,,148,,3300,1,1,4,4,,,,,,,,,,,,,,,,,1,04,4,184
25,2015,04,1,46,6,03,6,1,1,1,1,,,2,1,20,07,34,,,,220,265,2,220,265,0,,45,0,45,6,3,,1070,3,4,1,3,,,,,,,,,,,,,,,,,2,18,,57
26,2015,04,1,35,0,02,4,1,6,4,1,,,2,3,10,07,33,,,,200,200,2,200,200,0,,0,0,0,4,11,,1000,3,1,3,4,,,,,,,,,,,,,,,,,3,10,,333
27,2015,04,1,46,6,02,3,1,6,3,1,,,2,3,10,07,33,,,,200,250,2,200,250,0,,0,0,0,4,7,,1500,3,3,1,3,,,,,,,,,,,,,,,,,2,04,,62
28,2015,04,3,13,0,03,6,2,6,2,,1,1,2,3,19,07,32,,,,,,,,,,,,,,,,3,,,,,,4,6,1,4,13,9,2,1,,,,,,0,,,1,01,,240
29,2015,04,4,35,4,03,5,2,1,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,11,,1197
30,2015,04,1,12,0,03,6,1,6,2,1,,,2,3,08,10,42,,,,420,480,1,420,480,0,,120,0,120,,23,,1880,3,1,3,4,,,,,,,,,,,,,,,,,1,14,1,95
31,2015,04,4,46,6,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,,,,,11,,150
32,2015,04,1,35,0,06,,2,2,4,1,,,2,3,20,02,09,,,,400,360,1,400,360,40,3,0,0,0,,91,,3300,1,1,3,3,,,,,,,,,,,,,,,,,1,03,2,294
33,2015,04,3,46,0,02,3,1,6,1,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,5,,,,,,6,6,1,0,06,7,2,,1,,,1,,3,,,1,03,,136
34,2015,04,1,35,0,05,,1,1,4,1,,,2,3,07,07,33,,,,400,550,1,400,550,0,,0,150,150,,40,,2404,3,1,1,4,,,,,,,,,,,,,,,,,1,03,1,245
35,2015,04,1,46,6,10,,1,1,2,1,,,5,3,11,08,35,,,,400,400,1,400,400,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,02,,51
36,2015,04,1,13,0,07,,2,2,4,1,,,2,3,10,07,31,,,,400,400,1,400,400,0,,0,0,0,,7,,1600,3,1,2,4,,,,,,,,,,,,,,,,,1,02,,130
37,2015,04,4,24,0,12,,1,5,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,01,,135
38,2015,04,1,35,0,01,2,1,6,2,1,,,2,3,10,07,33,,,,375,375,1,375,375,0,,0,0,0,,10,,1125,3,1,2,2,,,,,,,,,,,,,,,,,1,14,,127
39,2015,04,4,35,3,05,,1,1,6,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,3,09,1,648
40,2015,04,4,24,0,09,,2,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,1,16,,265
41,2015,04,4,35,0,01,1,1,6,1,,1,1,2,3,13,07,34,,,,,,,,,,,,,,,,2,,,,,,,,,4,10,9,,,,,,,,,0,,2,14,,68
42,2015,04,4,24,0,10,,2,5,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,1,01,,180
43,2015,04,4,59,9,11,,1,2,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,11,,134
44,2015,04,1,24,2,07,,2,2,4,1,,,6,3,17,04,17,,,,50,30,2,50,30,,,,,,7,16,,,,,,,,,,,,,,,,,,,,,,,1,02,,900
45,2015,04,4,48,8,06,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,0,,1,18,,470
46,2015,04,1,35,3,09,,1,1,4,1,,,1,3,11,02,05,,,,375,425,1,375,425,0,,0,50,50,,240,,5641,3,1,4,4,,,,,,,,,,,,,,,,,1,07,4,386
