REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2018,06,1,12,0,11,,1,1,5,1,,,2,3,20,01,02,,,,175,175,2,175,175,0,,0,0,0,5,90,,3956,3,1,1,1,,,,,,,,,,,,,,,,,,05,,169
2,2018,06,4,24,0,12,,2,3,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,01,,334
3,2018,06,1,24,0,04,,1,2,4,1,,,2,3,07,08,35,,,,400,400,1,400,400,0,,0,0,0,,74,,4503,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,123
4,2018,06,1,24,0,06,,2,1,5,1,,,1,2,17,04,18,,,,375,375,1,375,375,0,,0,0,0,,147,,2300,3,3,4,4,,,,,,,,,,,,,,,,,1,03,2,164
5,2018,06,1,24,0,11,,2,5,4,1,,,2,3,20,02,07,,,,210,210,2,210,210,0,,0,0,0,5,154,,2192,1,1,1,1,,,,,,,,,,,,,,,,,,01,,92
6,2018,06,4,48,0,09,,2,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,1,05,,53
7,2018,06,1,48,7,05,,2,1,6,1,,,1,3,17,05,21,,,,380,380,1,380,380,0,,0,0,0,,14,,4400,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,534
8,2018,06,1,46,6,07,,1,1,4,1,,,2,1,07,10,42,,,,400,470,1,400,470,0,,70,0,70,,51,,1600,3,1,3,4,,,,,,,,,,,,,,,,,1,03,1,70
9,2018,06,1,59,9,07,,1,1,2,1,,,2,2,10,07,34,,,,400,400,1,400,400,0,,0,0,0,,100,,3660,3,1,3,4,,,,,,,,,,,,,,,,,1,06,2,745
10,2018,06,1,24,0,10,,2,3,4,1,,,6,3,14,05,22,,,,5,30,2,5,30,,,,,,5,120,,,,,,,,,,,,,,,,,,,,,,,1,01,,108
11,2018,06,1,35,0,06,,1,1,2,1,,,6,1,06,08,36,,,,400,400,1,400,400,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,1,03,1,286
12,2018,06,1,46,6,08,,1,1,5,1,,,1,1,17,03,11,,,,350,350,1,350,350,0,,0,0,0,,64,,5385,3,1,3,4,,,,,,,,,,,,,,,,,1,07,4,151
13,2018,06,4,47,0,01,2,2,6,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,127
14,2018,06,2,48,0,02,3,1,6,4,1,,,5,3,06,08,36,0,27,,400,0,1,400,0,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,2,18,,374
15,2018,06,1,10,0,05,,1,1,4,1,,,2,3,06,08,35,,,,400,600,1,400,600,0,,200,0,200,,8,,4800,1,3,3,4,,,,,,,,,,,,,,,,,1,03,2,164
16,2018,06,1,24,0,05,,2,4,4,1,,,2,3,10,07,33,,,,400,400,1,400,400,0,,0,0,0,,146,,1800,3,1,1,1,,,,,,,,,,,,,,,,,1,14,1,302
17,2018,06,4,46,6,04,,1,2,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,1,05,,87
18,2018,06,4,46,6,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,11,,78
19,2018,06,4,48,8,11,,2,1,4,,1,1,2,3,17,05,24,,,,,,,,,,,,,,,,224,,,,,,,,,5,07,2,,,,,,,,,,,,11,,512
20,2018,06,1,47,0,02,4,1,6,4,1,,,1,3,21,05,25,,,,400,400,1,400,400,0,,0,0,0,,29,,2850,1,1,3,3,,,,,,,,,,,,,,,,,1,18,,159
21,2018,06,1,59,0,09,,1,1,6,1,,,1,3,21,05,19,,,,350,350,1,350,350,0,,0,0,0,,117,,4670,3,1,2,4,,,,,,,,,,,,,,,,,1,04,4,174
22,2018,06,1,35,0,03,6,1,1,4,1,,,2,3,11,08,35,,,,350,400,1,350,400,0,,0,0,0,,21,,3297,3,1,3,3,,,,,,,,,,,,,,,,,1,02,,111
23,2018,06,1,46,0,03,6,2,1,4,1,,,2,3,20,07,32,,,,232,250,2,232,250,0,,0,0,0,2,40,,1796,3,1,1,1,,,,,,,,,,,,,,,,,1,03,1,135
24,2018,06,2,35,4,04,,2,2,5,1,,,2,3,19,07,33,3,1,1,350,0,1,350,0,,,,,,,11,,2500,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,985
