REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2014,12,4,47,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,11,,98
2,2014,12,2,47,0,06,,1,1,3,1,,,1,3,21,03,13,3,1,1,400,0,1,400,0,,,,,,,24,,3269,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,91
3,2014,12,1,47,0,05,,1,6,4,1,,,2,3,10,07,33,,,,400,400,1,400,400,0,,0,0,0,,150,,2000,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,68
4,2014,12,1,59,9,09,,1,1,5,1,,,2,2,10,01,03,,,,400,400,1,400,400,0,,0,0,0,,9,,2308,3,1,1,4,,,,,,,,,,,,,,,,,1,04,4,733
5,2014,12,1,13,0,02,4,2,6,5,2,,,1,3,18,06,30,,,,375,375,1,405,405,0,,0,0,0,,4,,1067,3,2,1,1,,,,,,,,,,,,,,,,,1,01,,127
6,2014,12,1,35,0,04,,2,6,4,1,,,2,3,17,05,26,,,,350,350,1,350,350,0,,0,0,0,,73,,1700,3,1,3,3,,,,,,,,,,,,,,,,,1,01,,110
7,2014,12,3,48,7,09,,1,2,1,,1,1,2,3,09,08,38,,,,,,,,,,,,,,,,32,,,,,,40,2,1,4,13,11,2,,1,,,,,1,,,1,11,,121
8,2014,12,3,24,2,01,2,1,6,3,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,10,5,2,,,,2,,1,,,,,3,,,2,03,,448
9,2014,12,4,24,0,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,05,,126
10,2014,12,1,47,0,06,,1,1,4,1,,,2,3,07,08,35,,,,400,400,1,400,400,0,,0,0,0,,240,,5000,3,1,3,3,,,,,,,,,,,,,,,,,1,03,2,123
11,2014,12,1,47,0,11,,2,1,4,1,,,1,3,17,02,09,,,,240,200,2,240,200,0,,80,0,80,7,77,,2003,1,3,3,4,,,,,,,,,,,,,,,,,,08,,123
