REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2006,06,1,35,0,07,,1,5,4,2,,,1,3,05,10,41,,,,400,400,1,450,450,0,,0,0,0,,240,,4000,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,215
2,2006,06,2,35,3,04,,2,1,4,1,,,2,3,10,04,17,2,28,2,200,0,2,200,0,,,,,,2,108,,1300,1,1,2,4,,,,,,,,,,,,,,,,,1,03,1,436
3,2006,06,1,47,0,03,6,2,6,4,1,,,2,3,12,07,33,,,,360,360,1,360,360,0,,0,0,0,,14,,1026,3,3,2,4,,,,,,,,,,,,,,,,,1,14,1,100
4,2006,06,4,13,0,11,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,11,,112
5,2006,06,4,35,0,02,4,1,6,5,,1,2,1,3,16,05,20,,,,,,,,,,,,,,,,20,,,,,,,,,3,05,3,,,,,,,,,,,1,01,,96
6,2006,06,4,47,0,08,,2,5,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,01,,97
7,2006,06,4,35,0,12,,1,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,08,,214
8,2006,06,1,35,0,01,2,2,6,2,1,,,2,3,19,07,34,,,,120,120,2,120,120,0,,0,0,0,4,11,,775,3,1,2,2,,,,,,,,,,,,,,,,,3,03,,155
9,2006,06,4,35,5,11,,1,6,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,01,,433
10,2006,06,2,46,6,07,,2,1,4,1,,,6,3,18,06,29,0,4,,80,0,2,80,0,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,3,02,,112
11,2006,06,1,24,0,03,5,2,6,5,1,,,1,3,21,06,27,,,,375,300,1,375,300,75,3,0,0,0,,29,,2851,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,186
12,2006,06,4,46,0,07,,2,5,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,1,01,,75
13,2006,06,4,12,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,,142
14,2006,06,1,35,4,07,,2,1,4,2,,,2,2,17,04,16,,,,370,220,1,610,460,140,1,0,0,0,,215,,1800,1,1,2,2,,,,,,,,,,,,,,,,,1,03,2,717
15,2006,06,1,35,0,01,2,2,6,1,1,,,2,3,19,07,34,,,,280,280,2,280,280,0,,0,0,0,4,15,,714,3,1,1,1,,,,,,,,,,,,,,,,,2,04,,84
16,2006,06,1,46,6,07,,2,5,2,1,,,1,3,17,01,04,,,,360,380,1,360,380,0,,0,20,20,,66,,1980,1,1,3,4,,,,,,,,,,,,,,,,,1,14,3,131
17,2006,06,4,24,2,08,,1,1,3,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,,859
18,2006,06,1,35,0,02,4,1,6,4,2,,,2,3,10,07,33,,,,70,40,2,80,40,0,,0,0,0,4,53,,850,3,1,2,4,,,,,,,,,,,,,,,,,2,18,,284
19,2006,06,3,59,0,09,,1,2,1,,1,2,2,3,06,08,38,,,,,,,,,,,,,,,,1,,,,,,3,2,1,4,10,2,2,,1,,,,,1,,,1,08,,327
20,2006,06,1,35,0,10,,2,3,4,1,,,2,3,17,05,26,,,,300,280,1,300,280,0,,0,0,0,,197,,1200,3,1,3,3,,,,,,,,,,,,,,,,,1,01,,235
21,2006,06,1,10,0,06,,2,1,4,1,,,2,3,17,05,26,,,,420,420,1,420,420,0,,0,0,0,,147,,779,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,173
22,2006,06,2,59,0,06,,1,6,2,1,,,2,3,11,08,38,1,2,1,180,0,2,180,0,,,,,,7,240,,3000,1,1,3,4,,,,,,,,,,,,,,,,,1,01,,111
23,2006,06,4,48,7,01,1,1,6,0,,1,2,2,3,11,08,38,,,,,,,,,,,,,,,,4,,,,,,,,,3,05,10,1,,,,,,,,,,2,14,,105
24,2006,06,1,13,0,08,,2,4,4,1,,,1,3,17,04,17,,,,375,375,1,375,375,0,,0,0,0,,240,,2500,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,123
25,2006,06,4,48,8,02,3,1,6,2,,1,1,1,3,21,08,38,,,,,,,,,,,,,,,,31,,,,,,,,,1,01,4,,,,,,,,,,,1,04,,108
26,2006,06,4,11,0,11,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,05,,52
27,2006,06,4,24,0,10,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,11,,532
28,2006,06,4,35,4,11,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,11,,708
29,2006,06,1,35,3,01,2,1,6,3,1,,,2,3,19,07,32,,,,400,400,1,400,400,0,,0,0,0,,42,,715,3,3,1,4,,,,,,,,,,,,,,,,,1,01,,365
30,2006,06,1,47,0,03,6,2,1,5,1,,,1,3,16,05,20,,,,400,400,1,400,400,0,,0,0,0,,34,,1971,1,1,1,1,,,,,,,,,,,,,,,,,1,02,,127
31,2006,06,1,24,2,02,3,1,6,4,1,,,2,3,20,08,35,,,,400,400,1,400,400,0,,0,0,0,,14,,1500,1,1,2,2,,,,,,,,,,,,,,,,,1,03,,827
32,2006,06,1,46,6,02,3,2,6,4,2,,,2,3,12,03,13,,,,400,400,1,600,475,0,,0,0,0,,3,,1400,3,3,3,4,,,,,,,,,,,,,,,,,1,04,,203
33,2006,06,1,10,0,04,,1,6,4,2,,,2,3,11,08,35,,,,400,400,1,550,560,0,,0,0,0,,50,,1900,3,1,2,3,,,,,,,,,,,,,,,,,1,01,,153
34,2006,06,2,24,0,05,,1,2,3,1,,,2,3,20,08,36,3,2,1,460,0,1,460,0,,,,,,,165,,2140,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,185
35,2006,06,1,47,0,03,6,2,1,6,1,,,2,3,12,02,09,,,,375,375,1,375,375,0,,0,0,0,,7,,1350,3,3,1,4,,,,,,,,,,,,,,,,,1,02,,131
36,2006,06,4,59,0,11,,1,1,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,222
37,2006,06,4,35,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,148
38,2006,06,1,24,0,07,,1,1,1,1,,,2,3,19,07,34,,,,350,700,1,350,700,0,,0,0,0,,230,,1000,3,2,1,1,,,,,,,,,,,,,,,,,1,05,,214
39,2006,06,1,35,0,05,,1,6,4,1,,,2,3,10,07,34,,,,80,80,2,80,80,0,,0,0,0,7,16,,830,3,1,2,2,,,,,,,,,,,,,,,,,3,01,,329
40,2006,06,1,35,0,01,2,1,6,1,1,,,2,3,10,03,13,,,,120,120,2,120,120,0,,0,0,0,4,10,,900,3,1,1,1,,,,,,,,,,,,,,,,,2,03,,218
41,2006,06,4,46,6,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,149
42,2006,06,4,46,6,12,,1,1,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,140
43,2006,06,1,48,7,08,,1,1,2,1,,,2,3,09,07,34,,,,400,400,1,400,400,0,,0,0,0,,6,,1779,3,1,3,3,,,,,,,,,,,,,,,,,1,02,,145
44,2006,06,1,35,0,03,6,2,2,2,2,,,2,3,10,07,33,,,,180,185,2,230,365,0,,0,0,0,6,9,,815,3,3,1,4,,,,,,,,,,,,,,,,,1,02,,280
45,2006,06,1,12,0,09,,2,1,4,1,,,1,2,17,05,26,,,,400,400,1,400,400,0,,0,0,0,,139,,1395,1,1,1,3,,,,,,,,,,,,,,,,,1,08,,132
46,2006,06,1,35,4,05,,1,1,4,1,,,2,1,08,07,32,,,,420,420,1,420,420,0,,0,0,0,,17,,1250,3,1,3,3,,,,,,,,,,,,,,,,,1,06,1,764
47,2006,06,1,46,6,08,,2,1,3,1,,,2,3,12,07,33,,,,400,400,1,400,400,0,,0,0,0,,167,,1635,3,1,2,4,,,,,,,,,,,,,,,,,1,04,4,183
48,2006,06,1,12,0,03,6,1,6,2,1,,,2,3,19,07,34,,,,200,200,2,200,200,0,,0,0,0,6,46,,1300,3,1,1,1,,,,,,,,,,,,,,,,,1,01,,158
49,2006,06,1,35,0,05,,1,1,5,1,,,2,3,07,01,03,,,,400,430,1,400,430,90,3,60,60,120,,206,,4327,3,1,3,4,,,,,,,,,,,,,,,,,1,03,1,544
50,2006,06,4,46,6,10,,2,1,4,,1,1,1,2,17,02,09,,,,,,,,,,,,,,,,37,,,,,,,,,0,00,9,,,,,,,,,0,,1,11,,180
51,2006,06,4,47,0,12,,2,4,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,109
52,2006,06,4,35,0,01,2,1,6,1,,1,1,2,3,14,10,42,,,,,,,,,,,,,,,,2,,,,,,,,,3,05,11,1,,,,,,,,,,2,16,,162
53,2006,06,1,35,0,08,,1,1,4,1,,,6,3,06,01,04,,,,450,450,1,450,450,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,1,02,,258
54,2006,06,1,59,9,04,,2,1,3,1,,,2,3,10,07,34,,,,10,10,2,10,10,0,,0,0,0,2,10,,850,3,1,1,4,,,,,,,,,,,,,,,,,1,11,,115
55,2006,06,1,59,0,06,,2,1,5,1,,,1,3,16,05,20,,,,350,470,1,350,470,0,,0,120,120,,238,,3846,1,1,2,3,,,,,,,,,,,,,,,,,1,03,3,234
56,2006,06,4,35,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,01,,202
57,2006,06,4,47,0,12,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,115
58,2006,06,1,35,0,08,,1,1,2,1,,,4,2,07,10,42,,,,400,500,1,400,500,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,02,,139
59,2006,06,1,35,0,03,6,2,6,5,1,,,2,3,08,06,28,,,,440,440,1,440,440,0,,0,0,0,,42,,1250,3,1,1,2,,,,,,,,,,,,,,,,,1,01,,321
