REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2015,09,1,24,2,09,,1,6,4,1,,,6,3,20,08,35,,,,550,550,1,550,550,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,18,,672
2,2015,09,4,24,2,12,,2,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,01,,806
3,2015,09,4,24,0,12,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,01,,129
4,2015,09,3,11,0,10,,1,1,1,,1,1,2,3,03,09,40,,,,,,,,,,,,,,,,2,,,,,,10,2,1,4,09,4,2,,1,,1,1,,1,,,1,08,,47
5,2015,09,1,59,9,09,,1,5,4,1,,,1,3,05,10,41,,,,450,180,1,450,180,270,3,0,0,0,,240,,4530,3,1,2,4,,,,,,,,,,,,,,,,,1,14,3,626
6,2015,09,4,10,0,11,,2,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,05,,114
7,2015,09,1,35,0,06,,1,1,6,1,,,1,3,16,05,20,,,,550,550,1,550,550,0,,0,0,0,,205,,3287,1,1,3,4,,,,,,,,,,,,,,,,,1,03,2,227
8,2015,09,1,46,0,04,,1,1,4,1,,,2,3,06,01,04,,,,400,400,1,400,400,0,,0,0,0,,196,,4808,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,89
9,2015,09,1,10,0,06,,1,1,4,1,,,2,3,02,08,35,,,,400,400,1,400,400,0,,0,0,0,,5,,3000,3,1,1,1,,,,,,,,,,,,,,,,,1,03,3,152
10,2015,09,4,59,9,11,,2,1,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,827
11,2015,09,4,35,0,12,,2,3,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,04,,70
12,2015,09,1,24,0,03,6,2,6,4,1,,,2,3,19,07,34,,,,350,350,1,350,350,0,,0,0,0,,23,,1055,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,165
13,2015,09,4,11,0,12,,2,1,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,05,,57
14,2015,09,4,12,0,12,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,,,,11,,92
15,2015,09,4,46,6,12,,2,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,53
16,2015,09,1,59,0,10,,2,2,2,1,,,2,3,06,08,37,,,,400,600,1,400,600,0,,120,0,120,,9,,2000,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,86
17,2015,09,4,46,6,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,147
18,2015,09,1,48,0,08,,1,5,4,1,,,4,3,11,08,36,,,,400,350,1,400,350,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,1,01,,56
19,2015,09,1,35,3,08,,1,1,3,1,,,2,3,11,08,36,,,,400,400,1,400,400,0,,0,0,0,,48,,3027,1,1,2,4,,,,,,,,,,,,,,,,,1,03,2,222
20,2015,09,4,47,0,07,,2,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,1,06,3,81
21,2015,09,1,35,0,09,,2,1,2,1,,,2,3,18,02,07,,,,300,300,1,300,300,0,,0,0,0,,61,,2100,3,1,1,1,,,,,,,,,,,,,,,,,1,08,,121
22,2015,09,1,11,0,10,,2,1,6,1,,,1,3,16,05,20,,,,400,550,1,400,550,0,,0,150,150,,240,,3365,1,1,2,4,,,,,,,,,,,,,,,,,1,08,,45
23,2015,09,1,47,0,05,,1,1,3,1,,,2,3,09,01,02,,,,400,500,1,400,500,0,,0,100,100,,10,,6731,3,1,2,4,,,,,,,,,,,,,,,,,1,03,1,118
24,2015,09,1,35,0,09,,2,1,2,1,,,2,3,12,02,07,,,,375,75,1,375,75,300,3,0,0,0,,240,,2150,3,1,1,4,,,,,,,,,,,,,,,,,1,08,,67
25,2015,09,1,48,7,04,,1,6,2,1,,,2,3,06,08,35,,,,550,550,1,550,550,0,,200,0,200,,81,,3000,3,1,2,2,,,,,,,,,,,,,,,,,1,01,,159
26,2015,09,4,59,9,09,,1,5,0,,1,1,2,3,08,10,43,,,,,,,,,,,,,,,,55,,,,,,,,,1,01,7,,,,,,,,,1,,1,18,,197
27,2015,09,1,10,0,09,,2,6,4,1,,,2,3,19,07,32,,,,375,375,1,375,375,0,,0,0,0,,121,,1949,1,2,3,3,,,,,,,,,,,,,,,,,1,18,,163
28,2015,09,1,46,6,04,,1,1,4,1,,,2,3,11,08,35,,,,400,500,1,400,500,0,,100,0,100,,38,,3130,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,60
29,2015,09,2,59,0,08,,1,1,4,1,,,6,3,18,06,29,1,14,,400,0,1,400,0,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,03,2,88
30,2015,09,1,12,0,09,,1,1,1,1,,,1,3,21,09,40,,,,400,400,1,400,400,0,,0,0,0,,240,,1845,3,2,2,2,,,,,,,,,,,,,,,,,1,02,,106
31,2015,09,1,59,0,05,,1,1,4,1,,,2,3,06,08,35,,,,400,500,1,400,500,0,,0,0,0,,38,,3488,3,3,1,1,,,,,,,,,,,,,,,,,1,05,,290
32,2015,09,1,24,0,04,,1,1,4,1,,,1,3,21,03,12,,,,375,375,1,375,375,0,,0,0,0,,5,,2133,3,3,2,4,,,,,,,,,,,,,,,,,1,06,1,157
33,2015,09,4,10,0,04,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,1,,1,12,2,77
34,2015,09,1,35,0,08,,1,5,2,1,,,2,3,06,08,35,,,,450,450,1,450,450,0,,50,0,50,,129,,2000,3,1,1,3,,,,,,,,,,,,,,,,,1,14,3,227
35,2015,09,1,24,0,10,,1,1,0,1,,,6,3,20,08,35,,,,400,400,1,400,400,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,05,,52
