REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2007,11,1,47,0,03,5,1,6,2,1,,,2,3,06,08,35,,,,400,400,1,400,400,0,,0,0,0,,5,,1900,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,126
2,2007,11,1,46,0,01,1,2,6,1,1,,,2,3,19,07,34,,,,175,200,2,175,200,0,,0,0,0,4,3,,825,3,1,2,4,,,,,,,,,,,,,,,,,2,03,,175
3,2007,11,1,47,0,06,,1,1,3,1,,,2,3,01,01,04,,,,400,400,1,400,400,0,,0,0,0,,141,,3365,3,1,2,2,,,,,,,,,,,,,,,,,1,03,2,94
4,2007,11,3,24,2,02,4,2,2,2,,1,2,2,3,20,08,36,,,,,,,,,,,,,,,,6,,,,,,5,6,1,3,05,2,2,,,1,1,,,0,,,3,11,,868
5,2007,11,4,47,0,12,,1,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,11,,88
6,2007,11,1,12,0,05,,1,6,4,1,,,2,3,15,08,36,,,,400,370,1,400,370,80,1,0,50,50,,87,,1875,3,1,2,4,,,,,,,,,,,,,,,,,1,01,,154
7,2007,11,4,59,0,10,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,1,11,,290
8,2007,11,1,35,0,04,,1,1,4,1,,,2,3,11,01,04,,,,375,340,1,375,340,75,3,0,40,40,,162,,4231,3,1,3,4,,,,,,,,,,,,,,,,,1,03,2,303
9,2007,11,1,59,0,05,,1,2,3,1,,,2,3,07,10,41,,,,400,480,1,400,480,80,1,160,0,160,,51,,2585,1,1,3,4,,,,,,,,,,,,,,,,,1,06,1,319
10,2007,11,1,24,0,04,,2,6,3,1,,,2,3,10,07,34,,,,325,310,1,325,310,0,,0,0,0,,9,,815,3,1,1,4,,,,,,,,,,,,,,,,,1,14,2,138
11,2007,11,4,47,0,01,1,2,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,2,03,,104
12,2007,11,1,13,0,08,,2,1,4,1,,,2,3,15,07,31,,,,375,375,1,375,375,0,,0,0,0,,24,,1444,3,1,4,4,,,,,,,,,,,,,,,,,1,04,4,167
13,2007,11,4,12,0,11,,1,1,4,,1,2,1,3,21,03,13,,,,,,,,,,,,,,,,126,,,,,,,,,5,07,12,,,,,,,,,,,,11,,115
14,2007,11,4,48,8,12,,2,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,430
15,2007,11,4,13,0,07,,1,6,2,,1,1,2,3,20,08,38,,,,,,,,,,,,,,,,6,,,,,,,,,4,12,6,,,,,,,,,5,,1,01,,148
16,2007,11,1,35,0,07,,2,1,3,1,,,2,3,17,07,32,,,,300,300,1,300,300,0,,0,0,0,,15,,1598,1,1,3,4,,,,,,,,,,,,,,,,,1,03,3,437
17,2007,11,1,35,0,09,,2,5,2,1,,,2,2,12,02,06,,,,300,373,1,300,373,0,,73,0,73,,240,,3000,3,3,3,4,,,,,,,,,,,,,,,,,1,01,,186
18,2007,11,4,48,8,01,2,1,6,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,230
19,2007,11,1,46,0,08,,2,1,1,1,,,1,3,17,07,31,,,,375,375,1,375,375,0,,0,0,0,,235,,1650,1,1,1,4,,,,,,,,,,,,,,,,,1,18,,106
20,2007,11,4,35,4,01,1,2,6,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,11,,739
21,2007,11,1,24,0,06,,1,6,3,1,,,2,3,17,04,18,,,,363,363,1,363,363,0,,0,0,0,,240,,1800,1,1,3,3,,,,,,,,,,,,,,,,,1,01,,112
22,2007,11,1,12,0,08,,2,1,5,1,,,1,3,17,04,16,,,,375,425,1,375,425,0,,0,50,50,,230,,3063,3,1,4,4,,,,,,,,,,,,,,,,,1,04,4,150
23,2007,11,1,24,0,07,,1,1,4,1,,,2,3,06,08,35,,,,400,620,1,400,620,0,,220,0,220,,142,,2997,1,1,3,3,,,,,,,,,,,,,,,,,1,07,4,137
24,2007,11,1,24,0,07,,2,1,4,1,,,2,3,12,07,32,,,,330,330,1,330,330,0,,0,0,0,,240,,2400,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,282
25,2007,11,1,24,0,06,,1,2,5,1,,,2,3,19,01,03,,,,350,350,1,350,350,0,,0,0,0,,42,,2286,3,1,1,1,,,,,,,,,,,,,,,,,1,06,3,122
26,2007,11,1,35,0,02,4,1,6,3,1,,,2,3,06,08,35,,,,700,960,1,700,960,100,1,360,0,360,,3,,1365,1,2,3,4,,,,,,,,,,,,,,,,,1,18,,88
27,2007,11,4,59,9,08,,2,1,5,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,05,,404
28,2007,11,1,59,0,06,,1,1,6,1,,,1,3,16,05,20,,,,325,375,1,325,375,0,,0,50,50,,111,,3787,1,1,2,2,,,,,,,,,,,,,,,,,1,03,2,158
29,2007,11,4,35,0,08,,2,5,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,1,01,,79
30,2007,11,1,11,0,07,,2,2,4,1,,,1,3,21,02,09,,,,400,400,1,400,400,0,,0,0,0,,131,,1616,1,1,2,4,,,,,,,,,,,,,,,,,1,03,3,27
31,2007,11,4,24,2,10,,2,5,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,1,06,,619
