REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2013,06,1,35,4,08,,1,1,5,1,,,2,2,07,01,02,,,,400,400,1,400,400,0,,0,0,0,,114,,5385,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,892
2,2013,06,4,24,0,06,,1,5,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,1,01,,131
3,2013,06,1,59,9,06,,1,1,2,1,,,6,2,11,08,36,,,,550,600,1,550,600,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,1,06,2,474
4,2013,06,1,24,0,08,,2,6,4,1,,,2,3,10,02,07,,,,375,375,1,375,375,0,,0,0,0,,14,,1250,3,1,1,3,,,,,,,,,,,,,,,,,1,01,,125
5,2013,06,4,48,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,06,,492
6,2013,06,1,46,6,03,5,2,1,2,1,,,2,1,10,07,34,,,,300,300,1,300,300,0,,0,0,0,,51,,1050,3,1,1,2,,,,,,,,,,,,,,,,,1,03,1,63
7,2013,06,1,13,0,09,,1,1,5,1,,,5,3,18,01,03,,,,600,750,1,600,750,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,1,02,,85
8,2013,06,1,48,7,05,,1,2,5,1,,,2,3,14,03,13,,,,400,320,1,400,320,80,2,0,0,0,,29,,2788,3,1,2,2,,,,,,,,,,,,,,,,,1,06,1,292
9,2013,06,4,48,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,09,,63
10,2013,06,1,24,2,08,,1,1,2,1,,,1,2,17,07,32,,,,375,375,1,375,375,0,,0,0,0,,240,,2089,1,1,4,4,,,,,,,,,,,,,,,,,1,04,4,501
11,2013,06,4,24,0,01,1,2,6,0,,1,1,2,3,07,10,42,,,,,,,,,,,,,,,,2,,,,,,,,,3,05,12,,,,,,,,,,,2,03,,124
12,2013,06,4,35,4,05,,1,6,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,1,,1,01,,989
13,2013,06,4,35,0,11,,1,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,01,,166
14,2013,06,1,48,7,11,,2,1,1,1,,,2,3,07,02,07,,,,20,20,2,20,20,0,,0,0,0,5,174,,17308,3,1,1,1,,,,,,,,,,,,,,,,,,04,4,774
15,2013,06,4,48,0,12,,2,5,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,105
16,2013,06,1,48,8,07,,2,5,2,1,,,6,3,17,05,24,,,,600,550,1,600,550,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,1,01,,74
17,2013,06,2,24,0,06,,2,1,1,1,,,4,3,10,01,03,1,4,2,400,0,1,400,0,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1,02,,288
18,2013,06,1,35,0,09,,2,1,3,1,,,1,2,19,07,31,,,,320,320,1,320,320,0,,0,0,0,,98,,2400,3,1,3,3,,,,,,,,,,,,,,,,,1,08,,115
19,2013,06,4,35,4,07,,2,5,4,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,1,18,,819
20,2013,06,4,35,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,11,,194
21,2013,06,1,59,0,02,4,1,6,2,1,,,2,3,17,10,43,,,,150,80,2,150,80,0,,0,0,0,1,12,,1050,3,4,1,1,,,,,,,,,,,,,,,,,1,01,,204
