REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2017,04,1,24,0,09,,2,6,2,1,,,2,3,10,07,31,,,,375,300,1,375,300,75,3,0,0,0,,144,,1331,2,1,1,2,,,,,,,,,,,,,,,,,1,18,,120
2,2017,04,1,24,2,06,,1,1,4,1,,,4,2,11,08,38,,,,300,350,1,300,350,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,1,03,1,820
3,2017,04,4,11,0,02,4,1,6,2,,1,2,2,3,10,07,33,,,,,,,,,,,,,,,,16,,,,,,,,,3,05,9,,,,,,,,,,,2,01,,31
4,2017,04,1,46,6,07,,1,1,5,1,,,2,2,10,01,01,,,,700,620,1,700,620,80,3,0,0,0,,36,,5357,3,1,3,3,,,,,,,,,,,,,,,,,1,07,4,143
5,2017,04,1,24,0,03,5,1,6,4,1,,,2,3,06,02,09,,,,400,400,1,400,400,0,,0,0,0,,13,,1500,3,4,1,4,,,,,,,,,,,,,,,,,1,05,,90
6,2017,04,1,48,8,10,,1,2,6,1,,,4,3,13,07,32,,,,700,500,1,700,500,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,1,02,,305
7,2017,04,3,13,0,05,,1,6,4,,1,1,1,3,21,03,13,,,,,,,,,,,,,,,,40,,,,,,8,6,1,1,01,8,2,,,,,,1,0,,,1,05,,169
8,2017,04,4,24,0,10,,2,1,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,1,05,,100
9,2017,04,1,24,0,06,,1,6,1,1,,,2,3,10,07,34,,,,350,350,1,350,350,0,,0,0,0,,3,,1075,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,98
10,2017,04,4,24,2,05,,1,1,5,,1,1,2,1,09,07,33,,,,,,,,,,,,,,,,20,,,,,,,,,4,12,3,,,,,,,,,,,1,12,1,835
