REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2008,01,1,48,0,05,,2,2,1,1,,,2,3,19,07,31,,,,390,390,1,390,390,0,,0,0,0,,71,,900,3,1,2,2,,,,,,,,,,,,,,,,,1,03,3,173
2,2008,01,2,59,9,07,,1,6,1,1,,,2,3,11,08,36,1,52,2,250,0,2,250,0,,,,,,7,49,,1200,3,1,2,3,,,,,,,,,,,,,,,,,1,18,,461
3,2008,01,1,35,0,01,2,2,6,1,1,,,2,3,10,07,34,,,,120,80,2,120,80,40,1,0,0,0,4,7,,830,3,1,3,4,,,,,,,,,,,,,,,,,2,03,,166
4,2008,01,1,46,6,12,,1,1,4,1,,,2,3,10,02,09,,,,400,440,1,400,440,0,,40,0,40,,190,,900,3,1,2,2,,,,,,,,,,,,,,,,,,05,,142
5,2008,01,2,35,0,08,,1,1,3,1,,,6,3,01,01,04,0,2,,400,0,1,400,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,03,3,248
6,2008,01,1,35,0,09,,2,1,4,1,,,1,3,17,04,17,,,,250,250,2,250,250,0,,0,0,0,5,219,,2345,1,1,3,3,,,,,,,,,,,,,,,,,1,08,,228
7,2008,01,1,35,0,07,,1,2,4,1,,,2,3,04,08,35,,,,840,120,1,840,120,0,,0,0,0,,38,,1800,3,1,3,4,,,,,,,,,,,,,,,,,1,02,,76
8,2008,01,3,47,0,05,,1,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,7,2,,,127,2,,1,,,,,0,,,1,01,,105
9,2008,01,1,46,6,01,2,2,6,1,1,,,2,3,19,07,34,,,,90,90,2,90,90,0,,0,0,0,4,7,,800,3,1,1,1,,,,,,,,,,,,,,,,,2,06,,163
10,2008,01,2,46,0,04,,2,1,4,1,,,1,3,21,02,09,1,2,2,350,0,1,350,0,,,,,,,61,,1200,3,1,1,1,,,,,,,,,,,,,,,,,1,03,1,38
11,2008,01,1,35,0,03,5,2,6,4,1,,,2,3,10,07,31,,,,400,400,1,400,400,0,,0,0,0,,41,,1154,3,1,1,1,,,,,,,,,,,,,,,,,1,14,1,92
12,2008,01,4,35,0,12,,1,1,6,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,11,,198
13,2008,01,1,24,2,02,4,1,6,2,1,,,2,3,10,07,34,,,,400,400,1,400,400,0,,0,0,0,,5,,1000,3,1,1,4,,,,,,,,,,,,,,,,,1,03,,953
14,2008,01,1,12,0,06,,1,1,4,1,,,2,3,08,10,41,,,,400,400,1,400,400,0,,0,0,0,,4,,5000,3,3,3,4,,,,,,,,,,,,,,,,,1,03,2,130
15,2008,01,3,24,2,02,4,2,4,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,,,17,2,,1,,1,,,2,,,1,17,,538
16,2008,01,4,10,0,01,2,2,6,3,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,1,,,,,,,,,2,04,8,,,,,,,,,0,,1,17,,117
17,2008,01,1,48,0,02,4,1,2,4,1,,,2,3,06,08,35,,,,400,600,1,400,600,0,,200,0,200,,37,,2400,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,105
18,2008,01,1,13,0,10,,1,1,3,1,,,1,3,21,01,02,,,,375,425,1,375,425,0,,0,50,50,,116,,5026,2,1,2,4,,,,,,,,,,,,,,,,,1,05,,111
19,2008,01,4,59,0,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,84
20,2008,01,1,35,4,02,3,1,6,2,1,,,2,3,09,07,34,,,,160,120,2,160,120,40,0,0,0,0,6,5,,900,3,3,2,2,,,,,,,,,,,,,,,,,1,04,,712
21,2008,01,1,13,0,05,,2,1,4,1,,,5,3,10,01,03,,,,450,400,1,450,400,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,1,03,1,109
22,2008,01,1,35,3,02,3,2,1,4,1,,,2,1,19,07,34,,,,50,60,2,50,60,0,,0,0,0,4,15,,800,3,1,2,4,,,,,,,,,,,,,,,,,2,14,1,599
23,2008,01,1,35,4,05,,1,1,2,1,,,6,3,01,01,04,,,,500,500,1,500,500,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,1,03,1,756
24,2008,01,4,11,0,09,,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,1,01,,45
25,2008,01,1,35,0,04,,1,1,4,1,,,1,3,16,05,20,,,,375,535,1,375,535,0,,0,160,160,,77,,2813,1,1,2,3,,,,,,,,,,,,,,,,,1,03,1,291
26,2008,01,1,48,8,01,1,1,6,1,1,,,2,3,19,07,34,,,,40,40,2,40,40,0,,0,0,0,4,3,,800,3,1,1,4,,,,,,,,,,,,,,,,,2,03,,459
27,2008,01,1,35,4,06,,1,1,6,1,,,2,3,12,02,05,,,,550,550,1,550,550,0,,0,0,0,,68,,3077,3,1,4,4,,,,,,,,,,,,,,,,,1,03,1,822
28,2008,01,1,46,6,06,,2,4,2,1,,,1,3,16,05,26,,,,375,375,1,375,375,0,,0,0,0,,161,,2208,1,1,2,4,,,,,,,,,,,,,,,,,1,15,4,185
29,2008,01,4,59,0,08,,2,6,0,,1,2,1,3,17,07,34,,,,,,,,,,,,,,,,1,,,,,,,,,1,01,12,,,,,,,,,,,1,03,,100
30,2008,01,1,24,0,05,,1,2,4,1,,,2,3,20,08,35,,,,400,400,1,400,400,0,,0,0,0,,55,,2100,3,1,1,1,,,,,,,,,,,,,,,,,1,03,3,109
31,2008,01,4,24,2,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,856
32,2008,01,2,13,0,05,,2,4,4,1,,,2,3,17,04,17,1,16,2,420,0,1,420,0,,,,,,,113,,1931,1,1,2,4,,,,,,,,,,,,,,,,,1,14,1,118
33,2008,01,1,46,6,06,,2,1,5,1,,,1,3,16,05,20,,,,48,88,2,48,88,10,2,0,50,50,1,51,,3099,1,1,2,4,,,,,,,,,,,,,,,,,1,03,2,145
34,2008,01,1,59,9,06,,2,1,2,1,,,2,2,15,07,34,,,,300,300,1,300,300,0,,0,0,0,,23,,900,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,460
35,2008,01,4,59,0,12,,2,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,11,,129
36,2008,01,2,24,0,02,3,1,6,3,1,,,2,3,19,07,32,3,2,2,350,0,1,350,0,,,,,,,7,,800,3,1,2,2,,,,,,,,,,,,,,,,,1,15,,408
37,2008,01,1,13,0,02,4,2,6,5,1,,,2,3,19,02,09,,,,400,400,1,400,400,0,,0,0,0,,4,,1500,3,1,2,4,,,,,,,,,,,,,,,,,1,04,,140
38,2008,01,4,24,0,01,1,1,6,1,,1,1,7,3,01,09,40,,,,,,,,,,,,,,,,1,,,,,,,,,3,05,6,,,,,,,,,1,,2,03,,540
